n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
6.0,3.0,0.0,0.0,4.0,4.0,2.0,0.2,2.0,2.0,1.0,0.5,6.0,1.0,0.0,10.0,2.0,24.53,5.91,856.5,0.05,33.0,0.17,47.58,144.95,0.5,1.0,2.0,6.0,0.1,13.0,20.0,11.0,10.0,21.0,28.57,10.0,-1.0
1.0,5.0,5.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,14.0,3.0,1.0,13.0,0.0,29.8,5.77,991.7,0.06,38.0,0.17,55.09,171.9,1.0,2.0,4.0,13.0,0.2,15.0,23.0,13.0,10.0,15.0,0.0,13.0,-1.0
5.0,23.0,9.0,1.0,1.0,44.0,12.0,0.24,22.0,2.0,9.0,0.75,57.0,10.0,0.82,50.0,2.0,53.31,30.13,48410.46,0.54,263.0,0.03,2689.47,1606.54,0.83,11.0,22.0,47.0,0.21,113.0,150.0,45.0,24.0,58.0,3.85,51.0,-1.0
8.0,3.0,2.0,2.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,7.0,1.0,0.0,9.0,1.0,28.66,6.23,1113.38,0.06,38.0,0.16,61.85,178.62,0.5,1.0,2.0,7.0,0.1,17.0,21.0,15.0,11.0,20.0,18.18,11.0,-1.0
2.0,15.0,4.0,3.0,0.0,20.0,9.0,0.43,10.0,2.0,7.0,0.78,33.0,4.0,0.38,18.0,2.0,19.75,23.8,11186.0,0.16,94.0,0.04,621.44,470.0,0.44,5.0,10.0,26.0,0.2,42.0,52.0,15.0,17.0,44.0,14.29,21.0,-1.0
25.0,9.0,4.0,5.0,17.0,14.0,5.0,0.22,6.0,2.33,3.0,0.6,22.0,3.0,0.5,18.0,1.0,39.88,13.33,7090.32,0.18,98.0,0.08,393.91,531.77,0.6,4.0,7.0,19.0,0.08,45.0,53.0,27.0,16.0,66.0,55.0,23.0,-1.0
4.0,5.0,1.0,1.0,7.0,8.0,3.0,0.17,4.0,2.0,2.0,0.67,14.0,1.0,0.0,17.0,4.0,42.71,14.57,9068.9,0.21,114.0,0.07,503.83,622.38,0.33,2.0,4.0,13.0,0.1,51.0,63.0,28.0,16.0,30.0,32.0,18.0,-1.0
6.0,3.0,0.0,0.0,28.0,4.0,2.0,0.17,2.0,2.0,1.0,0.5,5.0,1.0,0.0,12.0,1.0,18.46,16.91,5277.76,0.1,69.0,0.06,293.21,312.13,0.5,1.0,2.0,5.0,0.04,31.0,38.0,11.0,12.0,47.0,70.0,12.0,-1.0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,2.0,16.25,8.89,1283.82,0.05,34.0,0.11,71.32,144.43,0.5,1.0,2.0,8.0,0.2,16.0,18.0,9.0,10.0,10.0,0.0,9.0,-1.0
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,5.0,1.0,0.0,6.0,3.0,9.87,5.63,312.22,0.02,15.0,0.18,17.35,55.51,0.5,1.0,2.0,5.0,0.29,5.0,10.0,4.0,9.0,7.0,0.0,6.0,-1.0
