n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
17.0,27.0,3.0,3.0,18.0,44.0,14.0,0.17,18.0,2.44,6.0,0.43,51.0,9.0,0.62,79.0,0.0,14.0,1.0,57.29,46.22,122395.16,0.88,435.0,0.02,6799.73,2648.05,0.64,13.0,22.0,39.0,0.12,159.0,276.0,43.0,25.0,119.0,21.0,82.0,-1.0
0.0,5.0,0.0,0.0,0.0,8.0,3.0,0.75,4.0,2.0,1.0,0.33,9.0,1.0,0.0,4.0,1.0,3.0,1.0,8.14,8.17,542.58,0.02,20.0,0.12,30.14,66.44,0.33,2.0,4.0,8.0,0.5,7.0,13.0,3.0,7.0,6.0,0.0,4.0,-1.0
2.0,3.0,0.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,1.0,0.5,7.0,1.0,0.0,8.0,0.0,2.0,1.0,17.27,7.29,916.65,0.04,34.0,0.14,50.93,125.81,0.5,1.0,2.0,7.0,0.17,17.0,17.0,7.0,6.0,12.0,0.0,8.0,-1.0
5.0,15.0,0.0,0.0,5.0,26.0,8.0,0.2,12.0,2.17,1.0,0.13,25.0,5.0,0.57,41.0,1.0,8.0,1.0,15.49,65.83,67150.0,0.34,204.0,0.02,3730.56,1020.0,0.63,7.0,13.0,19.0,0.15,79.0,125.0,12.0,20.0,53.0,10.87,41.0,-1.0
2.0,3.0,0.0,2.0,7.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,0.0,2.0,1.0,13.5,7.33,725.94,0.03,26.0,0.14,40.33,98.99,0.5,1.0,2.0,6.0,0.09,11.0,15.0,6.0,8.0,22.0,50.0,11.0,-1.0
1.0,3.0,1.0,1.0,0.0,4.0,2.0,0.15,2.0,2.0,1.0,0.5,7.0,1.0,0.0,12.0,0.0,2.0,1.0,15.45,7.14,788.3,0.04,27.0,0.14,43.79,110.36,0.5,1.0,2.0,7.0,0.13,10.0,17.0,7.0,10.0,16.0,7.69,13.0,-1.0
1.0,3.0,1.0,1.0,0.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,7.0,1.0,0.0,14.0,0.0,2.0,1.0,17.24,7.5,969.51,0.04,31.0,0.13,53.86,129.27,0.5,1.0,2.0,7.0,0.11,12.0,19.0,8.0,10.0,18.0,6.67,15.0,-1.0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.44,6.0,2.0,2.0,0.5,16.0,1.0,0.0,9.0,1.0,2.0,0.5,9.94,20.43,4149.67,0.07,47.0,0.05,230.54,203.13,0.25,3.0,6.0,14.0,0.33,22.0,25.0,7.0,13.0,12.0,0.0,9.0,-1.0
0.0,5.0,0.0,0.0,0.0,8.0,3.0,0.5,4.0,2.0,1.0,0.33,11.0,1.0,0.0,6.0,2.0,3.0,1.0,12.29,9.33,1070.66,0.04,31.0,0.11,59.48,114.71,0.33,2.0,4.0,10.0,0.38,16.0,15.0,6.0,7.0,8.0,0.0,6.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,6.0,1.0,0.0,5.0,1.0,1.0,0.5,12.25,4.8,282.29,0.02,17.0,0.21,15.68,58.81,0.5,1.0,2.0,6.0,0.29,8.0,9.0,5.0,6.0,7.0,0.0,5.0,-1.0
