n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
4.0,11.0,6.0,0.0,3.0,12.0,7.0,0.25,6.0,2.0,7.0,1.0,26.0,1.0,0.0,28.0,0.0,37.56,11.33,4824.95,0.14,83.0,0.09,268.05,425.73,0.14,3.0,6.0,21.0,0.19,34.0,49.0,21.0,14.0,36.0,9.68,28.0,-1.0
0.0,3.0,3.0,0.0,1.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,6.0,2.0,25.16,2.5,157.27,0.02,17.0,0.4,8.74,62.91,0.5,1.0,2.0,7.0,0.25,8.0,9.0,8.0,5.0,8.0,14.29,6.0,-1.0
9.0,5.0,2.0,0.0,5.0,8.0,3.0,0.11,4.0,2.0,2.0,0.67,12.0,3.0,1.0,27.0,2.0,35.26,21.24,15905.03,0.25,138.0,0.05,883.61,748.82,1.0,2.0,4.0,11.0,0.07,59.0,79.0,25.0,18.0,42.0,15.63,27.0,-1.0
2.0,9.0,1.0,0.0,4.0,16.0,5.0,0.36,8.0,2.0,2.0,0.4,21.0,1.0,0.0,14.0,0.0,17.84,14.5,3750.38,0.09,58.0,0.07,208.35,258.64,0.2,4.0,8.0,18.0,0.24,29.0,29.0,11.0,11.0,21.0,22.22,14.0,-1.0
3.0,5.0,4.0,0.0,6.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,13.0,1.0,0.0,17.0,1.0,39.99,5.59,1248.86,0.07,47.0,0.18,69.38,223.48,0.33,2.0,4.0,12.0,0.11,19.0,28.0,17.0,10.0,27.0,26.09,17.0,-1.0
26.0,24.0,13.0,1.0,16.0,32.0,14.0,0.17,14.0,2.29,11.0,0.79,88.0,7.0,0.0,82.0,0.0,99.15,21.29,44929.28,0.7,322.0,0.05,2496.07,2110.58,0.5,9.0,16.0,76.0,0.11,148.0,174.0,73.0,21.0,126.0,17.17,83.0,-1.0
11.0,35.0,10.0,0.0,5.0,58.0,18.0,0.28,24.0,2.42,12.0,0.67,85.0,10.0,0.0,64.0,3.0,81.86,19.83,32200.08,0.54,264.0,0.05,1788.89,1623.53,0.56,17.0,29.0,69.0,0.22,126.0,138.0,54.0,17.0,81.0,7.25,64.0,-1.0
6.0,7.0,3.0,0.0,4.0,12.0,4.0,0.25,6.0,2.0,2.0,0.5,15.0,1.0,0.0,16.0,3.0,33.33,7.33,1792.43,0.08,52.0,0.14,99.58,244.42,0.25,3.0,6.0,13.0,0.15,20.0,32.0,15.0,11.0,27.0,20.0,16.0,-1.0
2.0,5.0,2.0,0.0,5.0,8.0,3.0,0.33,4.0,2.0,3.0,1.0,10.0,1.0,0.0,9.0,0.0,19.56,4.5,396.0,0.03,22.0,0.22,22.0,88.0,0.33,2.0,4.0,9.0,0.18,9.0,13.0,8.0,8.0,17.0,35.71,9.0,-1.0
3.0,7.0,3.0,0.0,4.0,12.0,4.0,0.25,6.0,2.0,3.0,0.75,16.0,1.0,0.0,16.0,1.0,28.82,6.75,1312.96,0.06,43.0,0.15,72.94,194.51,0.25,3.0,6.0,14.0,0.17,21.0,22.0,14.0,9.0,24.0,20.0,16.0,-1.0
