n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,l
25.0,1.0,1.0,0.0,1.0,0.0,1.0,0.02,0.0,1.0,1.0,24.0,1.0,0.0,43.0,0.0,1.0,1.0,174.43,9.48,15673.51,0.55,286.0,0.11,870.75,1653.47,1.0,0.0,0.0,25.0,0.01,130.0,156.0,48.0,7.0,71.0,2.27,43.0,-1.0
7.0,15.0,7.0,1.0,6.0,28.0,8.0,0.2,14.0,6.0,0.75,39.0,1.0,0.0,40.0,0.0,8.0,1.0,62.99,13.96,12272.53,0.29,155.0,0.07,681.81,879.23,0.13,7.0,14.0,33.0,0.14,67.0,88.0,36.0,15.0,56.0,14.89,41.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,8.45,0.75,4.75,0.0,4.0,1.33,0.26,6.34,1.0,0.0,0.0,2.0,0.2,3.0,1.0,2.0,1.0,5.0,0.0,4.0,-1.0
11.0,19.0,1.0,5.0,12.0,30.0,10.0,0.2,12.0,2.0,0.2,32.0,7.0,0.67,46.0,3.0,5.0,0.5,32.89,32.59,34940.42,0.36,193.0,0.03,1941.13,1072.04,0.7,9.0,15.0,24.0,0.13,88.0,105.0,27.0,20.0,78.0,26.98,51.0,-1.0
1.0,3.0,0.0,0.0,2.0,4.0,2.0,0.18,2.0,1.0,0.5,6.0,1.0,0.0,11.0,0.0,0.0,0.0,30.17,4.2,532.19,0.04,31.0,0.24,29.57,126.71,0.5,1.0,2.0,6.0,0.13,12.0,19.0,10.0,7.0,16.0,15.38,11.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,9.0,1.0,1.0,30.67,3.0,276.0,0.03,23.0,0.33,15.33,92.0,1.0,0.0,0.0,3.0,0.13,10.0,13.0,10.0,6.0,8.0,0.0,3.0,-1.0
0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.2,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,6.19,2.25,31.35,0.0,6.0,0.44,1.74,13.93,1.0,0.0,0.0,4.0,0.14,3.0,3.0,2.0,3.0,7.0,16.67,5.0,-1.0
7.0,1.0,5.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,1.0,6.0,1.0,0.0,32.0,0.0,0.0,0.0,5.1,22.0,2470.47,0.04,40.0,0.05,137.25,112.29,1.0,0.0,0.0,7.0,0.03,33.0,7.0,3.0,4.0,40.0,0.0,32.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,11.07,3.0,99.66,0.01,10.0,0.33,5.54,33.22,1.0,0.0,0.0,2.0,0.25,4.0,6.0,4.0,6.0,4.0,0.0,2.0,-1.0
57.0,1.0,4.0,0.0,114.0,0.0,1.0,0.01,0.0,1.0,1.0,58.0,1.0,0.0,97.0,0.0,1.0,1.0,43.01,86.57,322359.57,1.24,835.0,0.01,17908.87,3723.63,1.0,0.0,0.0,59.0,0.0,303.0,532.0,14.0,8.0,270.0,54.03,97.0,-1.0
17.0,9.0,19.0,1.0,27.0,14.0,5.0,0.13,6.0,4.0,0.8,40.0,1.0,0.0,39.0,0.0,1.0,0.2,77.85,17.63,24182.87,0.46,227.0,0.06,1343.49,1372.08,0.2,4.0,7.0,37.0,0.06,94.0,133.0,48.0,18.0,86.0,41.79,40.0,-1.0
4.0,19.0,10.0,1.0,4.0,20.0,10.0,0.29,2.0,1.0,0.1,31.0,10.0,1.0,34.0,0.0,2.0,0.2,49.41,11.7,6763.77,0.19,119.0,0.09,375.76,578.1,1.0,9.0,10.0,23.0,0.23,52.0,67.0,20.0,9.0,44.0,12.82,35.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,27.35,3.0,246.13,0.03,21.0,0.33,13.67,82.04,1.0,0.0,0.0,3.0,0.13,9.0,12.0,9.0,6.0,8.0,0.0,3.0,-1.0
2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.17,0.0,1.0,1.0,4.0,1.0,0.0,6.0,0.0,1.0,1.0,27.25,4.5,551.81,0.04,30.0,0.22,30.66,122.62,1.0,0.0,0.0,5.0,0.07,8.0,22.0,8.0,9.0,14.0,33.33,6.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,20.06,7.2,1039.89,0.05,34.0,0.14,57.77,144.43,1.0,0.0,0.0,4.0,0.11,16.0,18.0,10.0,9.0,9.0,0.0,4.0,-1.0
2.0,5.0,0.0,0.0,2.0,6.0,3.0,0.5,2.0,1.0,0.33,7.0,1.0,0.0,6.0,0.0,3.0,1.0,17.17,5.0,429.18,0.03,21.0,0.2,23.84,85.84,0.33,2.0,3.0,6.0,0.21,7.0,14.0,7.0,10.0,14.0,25.0,6.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-1.0
