n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
1.0,3.0,4.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,11.0,1.0,0.0,7.0,0.0,2.0,1.0,24.71,5.63,781.73,0.05,34.0,0.18,43.43,138.97,0.5,1.0,2.0,11.0,0.22,10.0,24.0,8.0,9.0,9.0,0.0,7.0,-1.0
3.0,5.0,4.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,17.0,1.0,0.0,13.0,2.0,2.0,0.67,23.77,15.54,5735.89,0.12,76.0,0.06,318.66,369.21,0.33,2.0,4.0,16.0,0.18,29.0,47.0,14.0,15.0,17.0,0.0,13.0,-1.0
1.0,6.0,6.0,0.0,0.0,4.0,4.0,0.21,2.0,2.0,3.0,0.75,18.0,3.0,0.67,19.0,0.0,3.0,0.75,29.26,13.5,5332.5,0.13,79.0,0.07,296.25,395.0,0.75,1.0,2.0,16.0,0.18,27.0,52.0,16.0,16.0,22.0,0.0,19.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,6.0,2.0,2.0,1.0,13.38,7.33,719.39,0.03,24.0,0.14,39.97,98.1,0.5,1.0,2.0,7.0,0.29,8.0,16.0,6.0,11.0,7.0,0.0,6.0,-1.0
0.0,5.0,6.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,18.0,1.0,0.0,22.0,1.0,2.0,0.67,35.04,12.63,5590.85,0.15,87.0,0.08,310.6,442.61,0.33,2.0,4.0,17.0,0.13,32.0,55.0,19.0,15.0,23.0,0.0,22.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,1.0,1.0,0.5,14.87,8.57,1092.32,0.04,30.0,0.12,60.68,127.44,0.5,1.0,2.0,6.0,0.2,10.0,20.0,7.0,12.0,10.0,0.0,9.0,-1.0
2.0,10.0,9.0,0.0,0.0,12.0,6.0,0.18,6.0,2.0,5.0,0.83,30.0,3.0,0.4,33.0,0.0,4.0,0.67,45.02,14.88,9961.7,0.22,125.0,0.07,553.43,669.69,0.5,3.0,6.0,26.0,0.16,42.0,83.0,24.0,17.0,37.0,0.0,33.0,-1.0
18.0,13.0,19.0,0.0,10.0,24.0,7.0,0.12,12.0,2.0,7.0,1.0,73.0,1.0,0.0,57.0,1.0,7.0,1.0,88.41,27.8,68305.52,0.82,397.0,0.04,3794.75,2457.36,0.14,6.0,12.0,68.0,0.08,158.0,239.0,54.0,19.0,86.0,14.93,57.0,-1.0
1.0,7.0,4.0,0.0,0.0,8.0,4.0,0.5,2.0,4.0,3.0,0.75,14.0,1.0,0.0,8.0,2.0,4.0,1.0,15.19,14.0,2976.5,0.07,47.0,0.07,165.36,212.61,0.25,3.0,4.0,12.0,0.4,18.0,29.0,9.0,14.0,10.0,0.0,8.0,-1.0
28.0,59.0,46.0,1.0,38.0,42.0,36.0,0.15,20.0,2.1,34.0,0.94,233.0,20.0,0.54,241.0,0.0,33.0,0.92,238.08,40.75,395438.84,3.23,1287.0,0.02,21968.82,9702.9,0.56,11.0,21.0,199.0,0.12,480.0,807.0,159.0,27.0,310.0,13.93,242.0,-1.0
