n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
47.0,41.0,18.0,9.0,68.0,54.0,24.0,0.22,22.0,2.45,14.0,0.58,94.0,8.0,0.3,100.0,0.0,21.0,0.88,75.13,27.46,56640.44,0.69,321.0,0.04,3146.69,2062.83,0.33,16.0,27.0,72.0,0.1,120.0,201.0,59.0,27.0,242.0,43.5,109.0,-1.0
1.0,3.0,0.0,0.0,1.0,4.0,2.0,0.67,2.0,2.0,1.0,0.5,6.0,1.0,0.0,3.0,2.0,2.0,1.0,8.3,6.0,298.97,0.02,15.0,0.17,16.61,49.83,0.5,1.0,2.0,6.0,0.29,8.0,7.0,4.0,6.0,7.0,25.0,3.0,-1.0
4.0,7.0,2.0,3.0,3.0,12.0,4.0,0.22,6.0,2.0,3.0,0.75,16.0,1.0,0.0,15.0,0.0,1.0,0.25,23.96,10.38,2583.65,0.08,55.0,0.1,143.54,248.8,0.25,3.0,6.0,14.0,0.15,27.0,28.0,13.0,10.0,27.0,28.57,18.0,-1.0
30.0,69.0,17.0,4.0,52.0,118.0,35.0,0.27,54.0,2.19,18.0,0.51,152.0,17.0,0.47,125.0,0.0,25.0,0.71,84.68,27.62,64595.11,0.78,363.0,0.04,3588.62,2338.79,0.49,32.0,59.0,119.0,0.16,145.0,218.0,63.0,24.0,213.0,30.94,129.0,-1.0
2.0,9.0,0.0,0.0,0.0,14.0,5.0,0.31,6.0,2.33,1.0,0.2,15.0,3.0,0.5,16.0,2.0,5.0,1.0,32.0,18.75,11252.36,0.2,117.0,0.05,625.13,600.13,0.6,4.0,7.0,12.0,0.25,50.0,67.0,20.0,15.0,20.0,0.0,16.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,6.0,1.0,0.0,5.0,1.0,1.0,0.5,12.25,4.8,282.29,0.02,17.0,0.21,15.68,58.81,0.5,1.0,2.0,6.0,0.29,8.0,9.0,5.0,6.0,7.0,0.0,5.0,-1.0
1.0,3.0,1.0,1.0,0.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,7.0,1.0,0.0,14.0,0.0,2.0,1.0,17.24,7.5,969.51,0.04,31.0,0.13,53.86,129.27,0.5,1.0,2.0,7.0,0.11,12.0,19.0,8.0,10.0,18.0,6.67,15.0,-1.0
0.0,3.0,0.0,0.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,6.0,1.0,0.0,11.0,1.0,2.0,1.0,16.94,8.13,1118.06,0.05,33.0,0.12,62.11,137.61,0.5,1.0,2.0,6.0,0.14,13.0,20.0,8.0,10.0,14.0,8.33,11.0,-1.0
5.0,3.0,0.0,0.0,3.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,6.0,1.0,0.0,7.0,0.0,2.0,1.0,25.78,4.5,522.0,0.04,29.0,0.22,29.0,116.0,0.5,1.0,2.0,6.0,0.12,15.0,14.0,10.0,6.0,17.0,30.0,7.0,-1.0
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,0.5,5.0,1.0,0.0,3.0,2.0,2.0,1.0,6.18,5.0,154.4,0.01,11.0,0.2,8.58,30.88,0.5,1.0,2.0,5.0,0.4,4.0,7.0,2.0,5.0,5.0,0.0,3.0,-1.0
1.0,19.0,1.0,0.0,0.0,36.0,10.0,0.23,18.0,2.0,3.0,0.3,40.0,4.0,0.33,43.0,2.0,9.0,0.9,41.82,26.68,29766.87,0.37,202.0,0.04,1653.71,1115.76,0.4,9.0,18.0,32.0,0.22,83.0,119.0,28.0,18.0,46.0,0.0,43.0,-1.0
8.0,7.0,1.0,0.0,6.0,12.0,4.0,0.21,6.0,2.0,2.0,0.5,16.0,1.0,0.0,19.0,0.0,4.0,1.0,33.72,13.7,6324.89,0.15,88.0,0.07,351.38,461.82,0.25,3.0,6.0,14.0,0.11,42.0,46.0,23.0,15.0,35.0,24.0,19.0,-1.0
29.0,69.0,0.0,0.0,37.0,112.0,35.0,0.21,44.0,2.55,1.0,0.03,113.0,26.0,0.74,163.0,0.0,25.0,0.71,50.5,87.12,383277.96,1.47,751.0,0.01,21293.22,4399.34,0.74,34.0,56.0,80.0,0.15,307.0,444.0,37.0,21.0,231.0,18.5,163.0,-1.0
1.0,19.0,1.0,0.0,0.0,36.0,10.0,0.36,18.0,2.0,4.0,0.4,41.0,1.0,0.0,28.0,2.0,4.0,0.4,14.36,37.09,19752.67,0.18,112.0,0.03,1097.37,532.55,0.1,9.0,18.0,33.0,0.32,51.0,61.0,11.0,16.0,31.0,0.0,28.0,-1.0
11.0,9.0,3.0,0.0,12.0,16.0,5.0,0.17,8.0,2.0,2.0,0.4,20.0,3.0,0.5,29.0,0.0,0.0,0.0,33.09,17.76,10439.17,0.2,109.0,0.06,579.95,587.76,0.6,4.0,8.0,17.0,0.09,43.0,66.0,23.0,19.0,54.0,29.27,29.0,-1.0
0.0,7.0,0.0,0.0,0.0,10.0,4.0,1.0,4.0,2.5,1.0,0.25,11.0,3.0,0.67,4.0,3.0,4.0,1.0,7.75,9.0,627.65,0.02,22.0,0.11,34.87,69.74,0.75,3.0,5.0,9.0,0.67,9.0,13.0,3.0,6.0,6.0,0.0,4.0,-1.0
105.0,125.0,16.0,19.0,123.0,202.0,63.0,0.26,78.0,2.59,9.0,0.14,223.0,36.0,0.56,225.0,0.0,61.0,0.97,88.2,93.2,766179.74,2.74,1217.0,0.01,42565.54,8220.7,0.57,62.0,101.0,162.0,0.13,463.0,754.0,77.0,31.0,474.0,38.69,244.0,1.0
62.0,9.0,6.0,19.0,50.0,16.0,5.0,0.08,8.0,2.0,2.0,0.4,24.0,1.0,0.0,42.0,0.0,2.0,0.4,46.62,31.57,46467.35,0.49,268.0,0.03,2581.52,1471.82,0.2,4.0,8.0,21.0,0.03,104.0,164.0,28.0,17.0,175.0,62.16,61.0,1.0
6.0,3.0,1.0,0.0,7.0,4.0,2.0,0.15,2.0,2.0,1.0,0.5,8.0,1.0,0.0,13.0,1.0,2.0,1.0,16.23,21.09,7220.51,0.11,72.0,0.05,401.14,342.35,0.5,1.0,2.0,8.0,0.07,29.0,43.0,11.0,16.0,28.0,35.0,13.0,1.0
14.0,24.0,8.0,0.0,14.0,30.0,15.0,0.25,14.0,2.14,9.0,0.6,49.0,3.0,0.14,59.0,0.0,9.0,0.6,46.74,21.17,20950.15,0.33,162.0,0.05,1163.9,989.58,0.2,8.0,15.0,36.0,0.17,62.0,100.0,41.0,28.0,89.0,19.18,59.0,1.0
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,2.0,2.0,1.0,12.01,14.62,2569.51,0.06,40.0,0.07,142.75,175.69,0.5,1.0,2.0,6.0,0.17,18.0,22.0,8.0,13.0,12.0,0.0,9.0,1.0
35.0,97.0,3.0,0.0,51.0,168.0,49.0,0.18,72.0,2.33,8.0,0.16,210.0,34.0,0.69,265.0,0.0,42.0,0.86,54.71,125.67,864010.77,2.29,1118.0,0.01,48000.6,6875.42,0.69,48.0,86.0,163.0,0.14,435.0,683.0,45.0,26.0,353.0,16.14,265.0,1.0
18.0,46.0,2.0,6.0,24.0,64.0,26.0,0.22,26.0,2.46,15.0,0.58,79.0,23.0,0.88,114.0,0.0,24.0,0.92,43.0,57.74,143350.9,0.83,395.0,0.02,7963.94,2482.73,0.88,19.0,33.0,55.0,0.16,166.0,229.0,46.0,32.0,164.0,20.83,120.0,1.0
5.0,5.0,2.0,0.0,4.0,8.0,3.0,0.43,4.0,2.0,2.0,0.67,13.0,1.0,0.0,7.0,2.0,3.0,1.0,20.57,8.17,1372.0,0.06,42.0,0.12,76.22,168.0,0.33,2.0,4.0,12.0,0.18,21.0,21.0,9.0,7.0,17.0,36.36,7.0,1.0
