n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
23.0,13.0,0.0,10.0,17.0,24.0,7.0,0.21,12.0,2.0,1.0,0.14,27.0,5.0,0.67,23.0,3.0,27.4,28.12,21659.58,0.26,157.0,0.04,1203.31,770.38,0.71,6.0,12.0,22.0,0.09,43.0,114.0,13.0,17.0,74.0,54.0,33.0,-1.0
5.0,3.0,1.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,7.0,1.0,0.0,10.0,1.0,10.42,6.75,474.58,0.02,19.0,0.15,26.37,70.31,0.5,1.0,2.0,7.0,0.13,6.0,13.0,4.0,9.0,16.0,0.0,10.0,-1.0
3.0,3.0,0.0,1.0,6.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,5.0,1.0,0.0,8.0,1.0,10.63,3.75,149.49,0.01,12.0,0.27,8.3,39.86,0.5,1.0,2.0,5.0,0.11,5.0,7.0,4.0,6.0,19.0,46.67,9.0,-1.0
6.0,9.0,2.0,1.0,0.0,16.0,5.0,0.2,8.0,2.0,3.0,0.6,17.0,1.0,0.0,24.0,3.0,32.54,9.5,2936.77,0.1,63.0,0.11,163.15,309.13,0.2,4.0,8.0,14.0,0.16,19.0,44.0,15.0,15.0,32.0,4.0,25.0,-1.0
1.0,5.0,0.0,0.0,0.0,8.0,3.0,0.27,4.0,2.0,1.0,0.33,9.0,1.0,0.0,11.0,2.0,14.67,14.67,3156.61,0.07,49.0,0.07,175.37,215.22,0.33,2.0,4.0,8.0,0.23,22.0,27.0,9.0,12.0,13.0,0.0,11.0,-1.0
8.0,19.0,6.0,1.0,0.0,32.0,10.0,0.33,14.0,2.29,8.0,0.8,40.0,10.0,1.0,29.0,2.0,31.33,20.43,13084.38,0.21,118.0,0.05,726.91,640.3,1.0,9.0,16.0,32.0,0.26,47.0,71.0,23.0,20.0,39.0,3.33,30.0,-1.0
21.0,31.0,10.0,13.0,50.0,34.0,18.0,0.13,16.0,2.13,13.0,0.72,72.0,1.0,0.0,125.0,3.0,77.8,40.25,126046.47,1.04,438.0,0.02,7002.58,3131.59,0.06,9.0,17.0,56.0,0.07,168.0,270.0,96.0,46.0,254.0,33.51,138.0,-1.0
22.0,7.0,4.0,9.0,31.0,12.0,4.0,0.1,6.0,2.0,3.0,0.75,19.0,1.0,0.0,32.0,6.0,45.51,16.36,12184.85,0.25,130.0,0.06,676.94,744.63,0.25,3.0,6.0,17.0,0.04,54.0,76.0,33.0,20.0,95.0,55.56,41.0,-1.0
4.0,5.0,1.0,4.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,10.0,1.0,0.0,17.0,2.0,34.27,2.78,264.4,0.03,25.0,0.36,14.69,95.18,0.33,2.0,4.0,9.0,0.12,10.0,15.0,9.0,5.0,26.0,19.05,21.0,-1.0
10.0,5.0,9.0,2.0,18.0,8.0,3.0,0.17,4.0,2.0,2.0,0.67,18.0,1.0,0.0,16.0,1.0,45.77,7.71,2723.97,0.12,70.0,0.13,151.33,353.11,0.33,2.0,4.0,17.0,0.04,27.0,43.0,21.0,12.0,71.0,55.56,18.0,-1.0
12.0,5.0,1.0,3.0,4.0,8.0,3.0,0.18,4.0,2.0,2.0,0.67,10.0,3.0,1.0,14.0,0.0,15.83,13.82,3022.38,0.07,46.0,0.07,167.91,218.72,1.0,2.0,4.0,9.0,0.09,19.0,27.0,11.0,16.0,34.0,33.33,17.0,-1.0
67.0,29.0,10.0,27.0,41.0,56.0,15.0,0.13,28.0,2.0,15.0,1.0,76.0,15.0,1.0,92.0,2.0,46.37,57.0,150670.96,0.88,466.0,0.02,8370.61,2643.35,1.0,14.0,28.0,63.0,0.07,192.0,274.0,32.0,19.0,228.0,42.5,119.0,-1.0
6.0,5.0,6.0,0.0,6.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,15.0,1.0,0.0,21.0,2.0,40.4,11.25,5113.63,0.15,86.0,0.09,284.09,454.54,0.33,2.0,4.0,14.0,0.09,36.0,50.0,24.0,15.0,34.0,22.22,21.0,-1.0
9.0,15.0,4.0,14.0,22.0,28.0,8.0,0.2,14.0,2.0,6.0,0.75,30.0,4.0,0.43,27.0,6.0,35.27,13.74,6655.21,0.16,93.0,0.07,369.73,484.48,0.5,7.0,14.0,24.0,0.11,29.0,64.0,19.0,18.0,73.0,57.14,41.0,-1.0
1.0,9.0,0.0,1.0,4.0,16.0,5.0,0.16,8.0,2.0,1.0,0.2,18.0,1.0,0.0,31.0,2.0,14.28,19.94,5674.43,0.09,67.0,0.05,315.25,284.61,0.2,4.0,8.0,15.0,0.13,29.0,38.0,8.0,11.0,38.0,13.89,32.0,-1.0
0.0,5.0,1.0,0.0,5.0,6.0,3.0,0.19,2.0,3.0,2.0,0.67,7.0,3.0,1.0,16.0,4.0,24.32,7.64,1418.49,0.06,40.0,0.13,78.8,185.75,1.0,2.0,3.0,6.0,0.14,12.0,28.0,11.0,14.0,22.0,23.81,16.0,-1.0
7.0,3.0,1.0,4.0,1.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,6.0,1.0,0.0,6.0,2.0,16.39,3.5,200.76,0.02,16.0,0.29,11.15,57.36,0.5,1.0,2.0,6.0,0.11,5.0,11.0,5.0,7.0,19.0,45.45,10.0,-1.0
8.0,3.0,1.0,6.0,5.0,4.0,2.0,0.11,2.0,2.0,1.0,0.5,7.0,1.0,0.0,13.0,1.0,29.61,9.15,2480.95,0.09,57.0,0.11,137.83,271.03,0.5,1.0,2.0,7.0,0.06,17.0,40.0,13.0,14.0,33.0,45.83,19.0,-1.0
20.0,11.0,4.0,4.0,16.0,18.0,6.0,0.19,8.0,2.25,5.0,0.83,22.0,3.0,0.4,27.0,4.0,53.81,14.9,11951.03,0.27,140.0,0.07,663.95,801.91,0.5,5.0,9.0,18.0,0.09,42.0,98.0,31.0,22.0,68.0,42.55,31.0,-1.0
81.0,162.0,8.0,80.0,165.0,248.0,96.0,0.19,118.0,2.1,63.0,0.66,345.0,27.0,0.27,423.0,3.0,131.72,126.56,2109679.46,5.56,2027.0,0.01,117204.41,16670.05,0.28,65.0,124.0,251.0,0.13,798.0,1229.0,227.0,72.0,750.0,36.68,503.0,-1.0
16.0,7.0,3.0,0.0,15.0,12.0,4.0,0.16,6.0,2.0,3.0,0.75,15.0,1.0,0.0,25.0,0.0,21.39,22.46,10795.37,0.16,97.0,0.04,599.74,480.56,0.25,3.0,6.0,13.0,0.07,37.0,60.0,14.0,17.0,57.0,37.5,25.0,-1.0
42.0,11.0,10.0,5.0,44.0,20.0,6.0,0.16,10.0,2.0,6.0,1.0,30.0,1.0,0.0,32.0,0.0,53.31,12.89,8852.8,0.23,123.0,0.08,491.82,686.95,0.17,5.0,10.0,26.0,0.05,47.0,76.0,31.0,17.0,124.0,60.49,37.0,-1.0
3.0,3.0,0.0,2.0,0.0,8.0,2.0,0.18,4.0,2.0,1.0,0.5,5.0,1.0,0.0,9.0,2.0,24.08,7.22,1256.07,0.06,39.0,0.14,69.78,173.92,0.5,2.0,4.0,5.0,0.13,10.0,29.0,9.0,13.0,15.0,18.18,11.0,-1.0
15.0,11.0,4.0,5.0,19.0,20.0,6.0,0.18,10.0,2.0,4.0,0.67,23.0,1.0,0.0,28.0,2.0,30.61,23.1,16332.07,0.24,128.0,0.04,907.34,707.02,0.17,5.0,10.0,19.0,0.08,55.0,73.0,25.0,21.0,75.0,46.15,33.0,-1.0
77.0,33.0,9.0,25.0,15.0,62.0,17.0,0.17,30.0,2.07,11.0,0.65,87.0,9.0,0.5,75.0,3.0,88.15,36.04,114516.56,1.06,465.0,0.03,6362.03,3177.29,0.53,16.0,31.0,72.0,0.08,193.0,272.0,83.0,31.0,201.0,34.78,100.0,-1.0
12.0,7.0,8.0,3.0,3.0,12.0,4.0,0.12,6.0,2.0,4.0,1.0,25.0,1.0,0.0,30.0,0.0,30.45,20.71,13065.14,0.21,122.0,0.05,725.84,630.73,0.25,3.0,6.0,23.0,0.08,58.0,64.0,21.0,15.0,49.0,16.67,33.0,-1.0
17.0,21.0,7.0,0.0,8.0,36.0,11.0,0.2,16.0,2.25,8.0,0.73,53.0,5.0,0.4,55.0,4.0,48.89,26.83,35190.17,0.44,217.0,0.04,1955.01,1311.63,0.45,10.0,18.0,44.0,0.14,88.0,129.0,41.0,25.0,81.0,12.7,55.0,-1.0
84.0,37.0,10.0,44.0,76.0,66.0,19.0,0.13,32.0,2.06,8.0,0.42,82.0,9.0,0.44,101.0,9.0,75.03,66.0,326814.89,1.65,685.0,0.02,18156.38,4951.74,0.47,17.0,33.0,65.0,0.06,264.0,421.0,100.0,50.0,306.0,54.3,145.0,-1.0
2.0,15.0,2.0,1.0,9.0,24.0,8.0,0.19,10.0,2.4,6.0,0.75,24.0,6.0,0.71,41.0,4.0,75.22,14.8,16481.41,0.37,187.0,0.07,915.63,1113.43,0.75,7.0,12.0,18.0,0.15,67.0,120.0,43.0,19.0,54.0,19.61,42.0,-1.0
26.0,28.0,16.0,20.0,119.0,28.0,17.0,0.1,12.0,2.33,13.0,0.76,72.0,10.0,0.56,154.0,1.0,133.35,38.57,198396.43,1.71,695.0,0.03,11022.02,5143.61,0.59,8.0,14.0,57.0,0.05,285.0,410.0,133.0,36.0,320.0,47.44,174.0,-1.0
34.0,17.0,9.0,5.0,26.0,30.0,9.0,0.13,14.0,2.14,7.0,0.78,44.0,4.0,0.38,66.0,5.0,76.03,28.98,63864.99,0.73,342.0,0.03,3548.06,2203.49,0.44,8.0,15.0,37.0,0.07,136.0,206.0,61.0,26.0,132.0,31.96,71.0,-1.0
7.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,6.0,1.0,0.0,12.0,2.0,14.62,6.43,604.36,0.03,23.0,0.16,33.58,94.01,0.5,1.0,2.0,6.0,0.1,9.0,14.0,7.0,10.0,20.0,0.0,12.0,-1.0
40.0,11.0,12.0,3.0,47.0,20.0,6.0,0.14,10.0,2.0,5.0,0.83,40.0,1.0,0.0,41.0,0.0,61.64,16.96,17733.62,0.35,177.0,0.06,985.2,1045.52,0.17,5.0,10.0,36.0,0.05,63.0,114.0,39.0,21.0,132.0,54.95,44.0,-1.0
15.0,7.0,4.0,0.0,21.0,12.0,4.0,0.1,6.0,2.0,4.0,1.0,25.0,1.0,0.0,41.0,7.0,61.36,23.68,34405.27,0.48,247.0,0.04,1911.4,1453.01,0.25,3.0,6.0,23.0,0.05,117.0,130.0,42.0,17.0,78.0,33.87,41.0,-1.0
4.0,3.0,0.0,0.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,5.0,1.0,0.0,11.0,2.0,20.51,6.11,765.94,0.04,29.0,0.16,42.55,125.34,0.5,1.0,2.0,5.0,0.12,10.0,19.0,9.0,11.0,17.0,8.33,11.0,-1.0
