n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
1.0,5.0,2.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,3.0,1.0,8.0,3.0,1.0,6.0,0.0,19.38,5.06,496.63,0.03,24.0,0.2,27.59,98.1,1.0,0.0,0.0,7.0,0.3,9.0,15.0,8.0,9.0,10.0,0.0,6.0,-1.0
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,5.0,1.0,0.0,5.0,3.0,9.87,5.63,312.22,0.02,15.0,0.18,17.35,55.51,0.5,1.0,2.0,5.0,0.29,5.0,10.0,4.0,9.0,7.0,0.0,5.0,-1.0
14.0,9.0,3.0,5.0,27.0,16.0,5.0,0.23,8.0,2.0,4.0,0.8,19.0,4.0,0.75,17.0,3.0,25.65,19.5,9755.09,0.17,94.0,0.05,541.95,500.26,0.8,4.0,8.0,16.0,0.08,39.0,55.0,20.0,20.0,66.0,65.31,22.0,-1.0
2.0,5.0,5.0,0.0,0.0,0.0,3.0,0.18,0.0,0.0,3.0,1.0,13.0,1.0,0.0,17.0,0.0,33.91,8.29,2327.82,0.09,63.0,0.12,129.32,280.94,0.33,0.0,0.0,12.0,0.14,29.0,34.0,14.0,8.0,21.0,0.0,17.0,-1.0
4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.11,0.0,0.0,1.0,1.0,2.0,1.0,0.0,8.0,0.0,16.8,6.67,746.67,0.04,28.0,0.15,41.48,112.0,1.0,0.0,0.0,3.0,0.06,8.0,20.0,6.0,10.0,16.0,20.0,9.0,-1.0
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.11,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,3.0,13.9,10.0,1389.74,0.05,34.0,0.1,77.21,138.97,1.0,0.0,0.0,2.0,0.08,14.0,20.0,7.0,10.0,12.0,10.0,9.0,-1.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,9.88,7.0,484.32,0.02,20.0,0.14,26.91,69.19,1.0,0.0,0.0,4.0,0.13,8.0,12.0,4.0,7.0,8.0,0.0,5.0,-1.0
22.0,13.0,4.0,8.0,23.0,24.0,7.0,0.27,12.0,2.0,5.0,0.71,30.0,1.0,0.0,18.0,0.0,32.65,14.37,6740.64,0.16,93.0,0.07,374.48,469.13,0.14,6.0,12.0,25.0,0.1,39.0,54.0,19.0,14.0,72.0,63.27,26.0,-1.0
13.0,11.0,3.0,3.0,5.0,20.0,6.0,0.21,10.0,2.0,3.0,0.5,27.0,1.0,0.0,25.0,0.0,29.42,20.92,12878.64,0.21,121.0,0.05,715.48,615.58,0.17,5.0,10.0,23.0,0.13,53.0,68.0,19.0,15.0,48.0,24.24,28.0,-1.0
4.0,3.0,0.0,0.0,2.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,6.0,1.0,0.0,7.0,0.0,9.86,6.67,438.19,0.02,19.0,0.15,24.34,65.73,0.5,1.0,2.0,6.0,0.13,5.0,14.0,3.0,8.0,15.0,22.22,7.0,-1.0
