l,n_0,n_1,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_2,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_3,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_4,n_5,n_6,n_7,n_8,n_9
-1.0,23.0,13.0,1.0,0.14,27.0,5.0,0.67,23.0,3.0,27.4,28.12,21659.58,0.0,0.26,157.0,0.04,1203.31,770.38,0.71,6.0,12.0,22.0,0.09,10.0,43.0,114.0,13.0,17.0,74.0,54.0,33.0,,,17.0,24.0,7.0,0.21,12.0,2.0
-1.0,5.0,3.0,2.0,1.0,7.0,1.0,0.0,10.0,1.0,10.42,6.75,474.58,1.0,0.02,19.0,0.15,26.37,70.31,0.5,1.0,2.0,7.0,0.13,0.0,6.0,13.0,4.0,9.0,16.0,0.0,10.0,,,0.0,4.0,2.0,0.2,2.0,2.0
-1.0,3.0,3.0,1.0,0.5,5.0,1.0,0.0,8.0,1.0,10.63,3.75,149.49,0.0,0.01,12.0,0.27,8.3,39.86,0.5,1.0,2.0,5.0,0.11,1.0,5.0,7.0,4.0,6.0,19.0,46.67,9.0,,,6.0,4.0,2.0,0.22,2.0,2.0
-1.0,6.0,9.0,3.0,0.6,17.0,1.0,0.0,24.0,3.0,32.54,9.5,2936.77,2.0,0.1,63.0,0.11,163.15,309.13,0.2,4.0,8.0,14.0,0.16,1.0,19.0,44.0,15.0,15.0,32.0,4.0,25.0,,,0.0,16.0,5.0,0.2,8.0,2.0
-1.0,1.0,5.0,1.0,0.33,9.0,1.0,0.0,11.0,2.0,14.67,14.67,3156.61,0.0,0.07,49.0,0.07,175.37,215.22,0.33,2.0,4.0,8.0,0.23,0.0,22.0,27.0,9.0,12.0,13.0,0.0,11.0,,,0.0,8.0,3.0,0.27,4.0,2.0
-1.0,8.0,19.0,8.0,0.8,40.0,10.0,1.0,29.0,2.0,31.33,20.43,13084.38,6.0,0.21,118.0,0.05,726.91,640.3,1.0,9.0,16.0,32.0,0.26,1.0,47.0,71.0,23.0,20.0,39.0,3.33,30.0,,,0.0,32.0,10.0,0.33,14.0,2.29
-1.0,21.0,31.0,13.0,0.72,72.0,1.0,0.0,125.0,3.0,77.8,40.25,126046.47,10.0,1.04,438.0,0.02,7002.58,3131.59,0.06,9.0,17.0,56.0,0.07,13.0,168.0,270.0,96.0,46.0,254.0,33.51,138.0,,,50.0,34.0,18.0,0.13,16.0,2.13
-1.0,22.0,7.0,3.0,0.75,19.0,1.0,0.0,32.0,6.0,45.51,16.36,12184.85,4.0,0.25,130.0,0.06,676.94,744.63,0.25,3.0,6.0,17.0,0.04,9.0,54.0,76.0,33.0,20.0,95.0,55.56,41.0,,,31.0,12.0,4.0,0.1,6.0,2.0
-1.0,4.0,5.0,3.0,1.0,10.0,1.0,0.0,17.0,2.0,34.27,2.78,264.4,1.0,0.03,25.0,0.36,14.69,95.18,0.33,2.0,4.0,9.0,0.12,4.0,10.0,15.0,9.0,5.0,26.0,19.05,21.0,,,0.0,8.0,3.0,0.14,4.0,2.0
-1.0,10.0,5.0,2.0,0.67,18.0,1.0,0.0,16.0,1.0,45.77,7.71,2723.97,9.0,0.12,70.0,0.13,151.33,353.11,0.33,2.0,4.0,17.0,0.04,2.0,27.0,43.0,21.0,12.0,71.0,55.56,18.0,,,18.0,8.0,3.0,0.17,4.0,2.0
-1.0,12.0,5.0,2.0,0.67,10.0,3.0,1.0,14.0,0.0,15.83,13.82,3022.38,1.0,0.07,46.0,0.07,167.91,218.72,1.0,2.0,4.0,9.0,0.09,3.0,19.0,27.0,11.0,16.0,34.0,33.33,17.0,,,4.0,8.0,3.0,0.18,4.0,2.0
