n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
1.0,5.0,2.0,1.0,1.0,6.0,3.0,0.15,2.0,3.0,2.0,0.67,10.0,3.0,1.0,19.0,1.0,30.43,9.95,3010.71,0.1,60.0,0.1,167.26,302.66,1.0,2.0,3.0,9.0,0.13,27.0,33.0,19.0,14.0,23.0,9.52,20.0,-1.0
4.0,15.0,1.0,1.0,1.0,26.0,8.0,0.38,12.0,2.17,2.0,0.25,32.0,4.0,0.43,20.0,1.0,15.74,26.13,10742.56,0.14,83.0,0.04,596.81,411.2,0.5,7.0,13.0,26.0,0.3,33.0,50.0,12.0,19.0,27.0,9.09,21.0,-1.0
3.0,5.0,1.0,1.0,3.0,8.0,3.0,0.27,4.0,2.0,1.0,0.33,11.0,1.0,0.0,10.0,1.0,12.86,14.78,2807.62,0.06,42.0,0.07,155.98,189.99,0.33,2.0,4.0,10.0,0.17,19.0,23.0,9.0,14.0,18.0,28.57,11.0,-1.0
2.0,9.0,1.0,0.0,0.0,14.0,5.0,0.63,6.0,2.33,4.0,0.8,18.0,4.0,0.75,8.0,1.0,7.35,21.12,3281.21,0.05,38.0,0.05,182.29,155.32,0.8,4.0,7.0,15.0,0.45,13.0,25.0,4.0,13.0,11.0,0.0,8.0,-1.0
22.0,12.0,3.0,2.0,12.0,16.0,7.0,0.13,8.0,2.0,6.0,0.86,26.0,1.0,0.0,53.0,1.0,48.73,19.39,18330.01,0.32,160.0,0.05,1018.33,945.1,0.14,4.0,8.0,21.0,0.07,67.0,93.0,38.0,22.0,99.0,20.9,55.0,-1.0
19.0,11.0,4.0,5.0,19.0,20.0,6.0,0.19,10.0,2.0,4.0,0.67,25.0,5.0,0.8,26.0,0.0,27.15,22.89,14223.33,0.21,116.0,0.04,790.18,621.48,0.83,5.0,10.0,21.0,0.09,53.0,63.0,22.0,19.0,70.0,48.0,31.0,-1.0
1.0,5.0,0.0,0.0,0.0,8.0,3.0,0.43,4.0,2.0,1.0,0.33,10.0,1.0,0.0,7.0,1.0,6.02,18.33,2024.24,0.04,29.0,0.05,112.46,110.41,0.33,2.0,4.0,9.0,0.33,10.0,19.0,3.0,11.0,9.0,0.0,7.0,-1.0
1.0,11.0,1.0,0.0,1.0,20.0,6.0,0.43,10.0,2.0,2.0,0.33,21.0,4.0,0.6,14.0,3.0,16.12,22.73,8332.05,0.12,74.0,0.04,462.89,366.61,0.67,5.0,10.0,17.0,0.35,25.0,49.0,11.0,20.0,17.0,6.67,14.0,-1.0
6.0,5.0,3.0,1.0,1.0,8.0,3.0,0.23,4.0,2.0,2.0,0.67,11.0,1.0,0.0,12.0,2.0,25.16,11.2,3155.74,0.09,58.0,0.09,175.32,281.76,0.33,2.0,4.0,10.0,0.14,24.0,34.0,15.0,14.0,21.0,14.29,13.0,-1.0
2.0,3.0,0.0,0.0,0.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,5.0,1.0,0.0,16.0,2.0,25.68,12.5,4011.84,0.11,70.0,0.08,222.88,320.95,0.5,1.0,2.0,5.0,0.11,25.0,45.0,12.0,12.0,19.0,0.0,16.0,-1.0
28.0,11.0,3.0,9.0,17.0,20.0,6.0,0.18,10.0,2.0,5.0,0.83,26.0,1.0,0.0,25.0,1.0,65.18,9.85,6318.58,0.21,111.0,0.1,351.03,641.73,0.17,5.0,10.0,22.0,0.08,48.0,63.0,39.0,16.0,80.0,50.98,34.0,-1.0
5.0,7.0,1.0,1.0,3.0,10.0,4.0,0.24,4.0,2.5,1.0,0.25,13.0,1.0,0.0,16.0,2.0,34.78,14.04,6856.63,0.16,90.0,0.07,380.92,488.36,0.25,3.0,5.0,11.0,0.15,39.0,51.0,25.0,18.0,26.0,20.0,17.0,-1.0
3.0,9.0,0.0,1.0,9.0,14.0,5.0,0.26,6.0,2.33,1.0,0.2,16.0,4.0,0.75,18.0,4.0,30.88,8.25,2102.02,0.08,53.0,0.12,116.78,254.79,0.8,4.0,7.0,13.0,0.16,22.0,31.0,16.0,12.0,32.0,35.71,19.0,-1.0
12.0,7.0,0.0,0.0,19.0,10.0,4.0,0.07,4.0,2.5,1.0,0.25,11.0,1.0,0.0,59.0,4.0,98.29,21.87,47030.93,0.72,357.0,0.05,2612.83,2149.99,0.25,3.0,5.0,9.0,0.04,175.0,182.0,52.0,13.0,91.0,24.36,59.0,-1.0
11.0,5.0,2.0,2.0,7.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,9.0,3.0,1.0,9.0,1.0,26.93,8.65,2013.44,0.08,47.0,0.12,111.86,232.85,1.0,2.0,3.0,8.0,0.1,21.0,26.0,17.0,14.0,30.0,50.0,11.0,-1.0
18.0,17.0,5.0,4.0,9.0,24.0,10.0,0.17,12.0,2.0,10.0,1.0,36.0,1.0,0.0,56.0,3.0,86.98,11.25,11008.93,0.33,165.0,0.09,611.61,978.57,0.1,6.0,12.0,28.0,0.11,69.0,96.0,46.0,15.0,88.0,18.84,60.0,-1.0
2.0,13.0,1.0,0.0,0.0,22.0,7.0,0.64,10.0,2.2,5.0,0.71,25.0,6.0,0.83,11.0,1.0,7.15,29.75,6326.82,0.07,51.0,0.03,351.49,212.67,0.86,6.0,11.0,20.0,0.5,17.0,34.0,4.0,14.0,14.0,0.0,11.0,-1.0
17.0,7.0,4.0,4.0,7.0,12.0,4.0,0.2,6.0,2.0,4.0,1.0,22.0,1.0,0.0,16.0,1.0,46.83,14.48,9823.41,0.23,125.0,0.07,545.75,678.28,0.25,3.0,6.0,20.0,0.09,60.0,65.0,29.0,14.0,45.0,40.74,20.0,-1.0
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,6.0,1.0,0.0,6.0,0.0,19.76,10.5,2178.25,0.07,48.0,0.1,121.01,207.45,0.5,1.0,2.0,6.0,0.25,14.0,34.0,8.0,12.0,8.0,0.0,6.0,-1.0
18.0,14.0,9.0,2.0,19.0,18.0,8.0,0.16,8.0,2.25,4.0,0.5,33.0,3.0,0.29,48.0,0.0,51.88,14.58,11021.37,0.25,127.0,0.07,612.3,756.18,0.38,5.0,9.0,27.0,0.09,53.0,74.0,40.0,22.0,88.0,30.43,50.0,-1.0
1.0,11.0,2.0,0.0,0.0,18.0,6.0,0.5,8.0,2.25,2.0,0.33,22.0,6.0,1.0,12.0,2.0,11.97,25.0,7483.01,0.1,61.0,0.04,415.72,299.32,1.0,5.0,9.0,18.0,0.43,25.0,36.0,10.0,20.0,14.0,0.0,12.0,-1.0
1.0,9.0,3.0,0.0,1.0,14.0,5.0,0.36,6.0,2.33,3.0,0.6,19.0,3.0,0.5,14.0,1.0,27.69,10.11,2831.11,0.09,56.0,0.1,157.28,280.0,0.6,4.0,7.0,16.0,0.29,26.0,30.0,18.0,14.0,17.0,6.67,14.0,-1.0
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,1.0,0.5,7.0,1.0,0.0,8.0,2.0,13.56,5.33,385.81,0.02,19.0,0.19,21.43,72.34,0.5,1.0,2.0,7.0,0.2,8.0,11.0,6.0,8.0,10.0,0.0,8.0,-1.0
0.0,11.0,1.0,0.0,0.0,8.0,8.0,0.47,4.0,2.0,1.0,0.13,22.0,1.0,0.0,17.0,2.0,16.16,19.2,5956.4,0.1,66.0,0.05,330.91,310.23,0.13,2.0,4.0,16.0,0.44,24.0,42.0,10.0,16.0,18.0,0.0,17.0,-1.0
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,5.0,3.0,10.75,5.0,268.87,0.02,15.0,0.2,14.94,53.77,0.5,1.0,2.0,6.0,0.29,5.0,10.0,4.0,8.0,7.0,0.0,5.0,-1.0
7.0,7.0,3.0,0.0,14.0,12.0,4.0,0.18,6.0,2.0,3.0,0.75,16.0,1.0,0.0,22.0,2.0,28.85,9.71,2717.65,0.09,56.0,0.1,150.98,280.0,0.25,3.0,6.0,14.0,0.09,22.0,34.0,17.0,15.0,44.0,38.89,22.0,-1.0
19.0,11.0,4.0,4.0,21.0,20.0,6.0,0.19,10.0,2.0,4.0,0.67,25.0,5.0,0.8,27.0,0.0,25.75,23.98,14801.55,0.21,116.0,0.04,822.31,617.34,0.83,5.0,10.0,21.0,0.08,53.0,63.0,21.0,19.0,72.0,48.08,31.0,-1.0
2.0,7.0,2.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,1.0,0.25,15.0,1.0,0.0,12.0,2.0,14.41,15.0,3241.45,0.07,50.0,0.07,180.08,216.1,0.25,3.0,6.0,13.0,0.27,20.0,30.0,8.0,12.0,15.0,0.0,12.0,-1.0
3.0,3.0,1.0,1.0,1.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,6.0,1.0,0.0,14.0,6.0,29.69,7.44,1642.27,0.07,45.0,0.13,91.24,220.81,0.5,1.0,2.0,6.0,0.1,17.0,28.0,16.0,14.0,20.0,12.5,15.0,-1.0
13.0,5.0,1.0,0.0,12.0,8.0,3.0,0.08,4.0,2.0,1.0,0.33,19.0,1.0,0.0,36.0,0.0,49.13,19.76,19184.32,0.32,185.0,0.05,1065.8,970.87,0.33,2.0,4.0,18.0,0.05,76.0,109.0,25.0,13.0,62.0,25.0,36.0,-1.0
1.0,7.0,4.0,1.0,1.0,12.0,4.0,0.18,6.0,2.0,4.0,1.0,17.0,1.0,0.0,21.0,1.0,54.76,4.7,1211.98,0.09,52.0,0.21,67.33,257.62,0.25,3.0,6.0,15.0,0.16,23.0,29.0,22.0,9.0,25.0,8.7,22.0,-1.0
1.0,14.0,1.0,0.0,0.0,16.0,9.0,0.32,8.0,2.0,2.0,0.22,30.0,1.0,0.0,28.0,1.0,22.95,22.69,11822.56,0.17,100.0,0.04,656.81,520.95,0.11,4.0,8.0,23.0,0.3,43.0,57.0,18.0,19.0,30.0,0.0,28.0,-1.0
13.0,5.0,3.0,1.0,11.0,8.0,3.0,0.11,4.0,2.0,2.0,0.67,14.0,1.0,0.0,27.0,1.0,43.37,15.45,10350.44,0.22,122.0,0.06,575.02,670.01,0.33,2.0,4.0,13.0,0.06,56.0,66.0,29.0,16.0,53.0,30.77,28.0,-1.0
4.0,21.0,2.0,0.0,0.0,40.0,11.0,0.52,20.0,2.0,6.0,0.55,43.0,1.0,0.0,21.0,2.0,24.3,27.0,17711.76,0.22,125.0,0.04,983.99,655.99,0.09,10.0,20.0,34.0,0.42,60.0,65.0,20.0,18.0,26.0,0.0,21.0,-1.0
8.0,7.0,1.0,3.0,5.0,12.0,4.0,0.17,6.0,2.0,3.0,0.75,15.0,1.0,0.0,20.0,0.0,20.71,28.0,16240.0,0.19,116.0,0.04,902.22,580.0,0.25,3.0,6.0,13.0,0.11,56.0,60.0,16.0,16.0,37.0,28.57,23.0,-1.0
5.0,8.0,1.0,0.0,4.0,4.0,6.0,0.25,2.0,2.0,2.0,0.33,16.0,1.0,0.0,24.0,1.0,19.95,12.41,3072.34,0.08,54.0,0.08,170.69,247.59,0.17,1.0,2.0,12.0,0.18,21.0,33.0,11.0,13.0,34.0,14.29,24.0,-1.0
1.0,7.0,2.0,0.0,0.0,12.0,4.0,0.36,6.0,2.0,3.0,0.75,17.0,4.0,1.0,11.0,1.0,16.45,14.3,3363.72,0.08,52.0,0.07,186.87,235.23,1.0,3.0,6.0,15.0,0.31,22.0,30.0,10.0,13.0,13.0,0.0,11.0,-1.0
1.0,19.0,0.0,17.0,0.0,34.0,10.0,0.21,16.0,2.13,1.0,0.1,40.0,8.0,0.78,31.0,3.0,31.42,46.06,66661.35,0.48,246.0,0.02,3703.41,1447.13,0.8,9.0,17.0,32.0,0.2,102.0,144.0,31.0,28.0,50.0,35.42,48.0,-1.0
5.0,5.0,2.0,0.0,1.0,6.0,3.0,0.25,2.0,3.0,1.0,0.33,9.0,3.0,1.0,12.0,2.0,18.28,10.0,1828.37,0.06,41.0,0.1,101.58,182.84,1.0,2.0,3.0,8.0,0.16,20.0,21.0,11.0,11.0,19.0,7.69,12.0,-1.0
1.0,11.0,1.0,0.0,0.0,18.0,6.0,0.67,8.0,2.25,2.0,0.33,21.0,5.0,0.8,9.0,2.0,10.31,18.2,3415.17,0.06,45.0,0.05,189.73,187.65,0.83,5.0,9.0,17.0,0.55,14.0,31.0,5.0,13.0,11.0,0.0,9.0,-1.0
10.0,5.0,11.0,2.0,4.0,8.0,3.0,0.08,4.0,2.0,2.0,0.67,22.0,1.0,0.0,36.0,1.0,85.25,13.0,14407.24,0.37,190.0,0.08,800.4,1108.25,0.33,2.0,4.0,21.0,0.06,88.0,102.0,44.0,13.0,53.0,14.29,38.0,-1.0
11.0,13.0,4.0,4.0,8.0,24.0,7.0,0.18,12.0,2.0,3.0,0.43,31.0,1.0,0.0,36.0,1.0,38.26,27.7,29360.62,0.35,178.0,0.04,1631.15,1059.85,0.14,6.0,12.0,26.0,0.12,82.0,96.0,37.0,25.0,60.0,25.0,40.0,-1.0
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,8.0,2.0,11.6,10.0,1160.0,0.04,29.0,0.1,64.44,116.0,0.5,1.0,2.0,7.0,0.18,12.0,17.0,6.0,10.0,11.0,0.0,8.0,-1.0
3.0,5.0,6.0,1.0,0.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,12.0,1.0,0.0,10.0,0.0,32.98,6.18,1260.48,0.07,48.0,0.16,70.03,203.9,0.33,2.0,3.0,11.0,0.2,17.0,31.0,11.0,8.0,15.0,9.09,11.0,-1.0
2.0,11.0,0.0,1.0,1.0,18.0,6.0,0.46,8.0,2.25,1.0,0.17,19.0,5.0,0.8,12.0,3.0,8.39,32.79,9019.28,0.09,60.0,0.03,501.07,275.1,0.83,5.0,9.0,15.0,0.35,27.0,33.0,7.0,17.0,17.0,14.29,13.0,-1.0
4.0,33.0,6.0,6.0,0.0,56.0,17.0,0.43,24.0,2.33,5.0,0.29,64.0,7.0,0.38,34.0,3.0,51.63,25.9,34627.03,0.45,214.0,0.04,1923.72,1337.06,0.41,16.0,28.0,49.0,0.38,94.0,120.0,49.0,27.0,45.0,15.0,40.0,-1.0
6.0,5.0,3.0,1.0,4.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,11.0,1.0,0.0,12.0,1.0,20.12,11.08,2469.1,0.07,48.0,0.09,137.17,222.91,0.33,2.0,4.0,10.0,0.13,24.0,24.0,13.0,12.0,24.0,29.41,13.0,-1.0
2.0,7.0,0.0,0.0,0.0,12.0,4.0,0.29,6.0,2.0,1.0,0.25,16.0,1.0,0.0,14.0,3.0,21.83,21.53,10120.67,0.16,94.0,0.05,562.26,470.0,0.25,3.0,6.0,14.0,0.24,38.0,56.0,15.0,17.0,17.0,0.0,14.0,-1.0
1.0,107.0,7.0,0.0,0.0,198.0,54.0,0.72,92.0,2.15,24.0,0.44,219.0,25.0,0.45,75.0,3.0,62.26,74.54,345890.61,1.55,694.0,0.01,19216.15,4640.43,0.46,53.0,99.0,167.0,0.7,255.0,439.0,65.0,38.0,77.0,0.0,75.0,-1.0
33.0,29.0,7.0,9.0,20.0,52.0,15.0,0.25,24.0,2.17,8.0,0.53,65.0,3.0,0.14,52.0,0.0,80.65,25.1,50799.32,0.67,306.0,0.04,2822.18,2024.1,0.2,14.0,26.0,52.0,0.13,139.0,167.0,72.0,26.0,115.0,35.8,61.0,-1.0
9.0,11.0,9.0,0.0,5.0,18.0,6.0,0.19,8.0,2.25,6.0,1.0,27.0,3.0,0.4,32.0,0.0,44.0,22.29,21860.16,0.33,160.0,0.04,1214.45,980.69,0.5,5.0,9.0,23.0,0.13,71.0,89.0,43.0,27.0,47.0,13.51,32.0,-1.0
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,6.0,0.0,16.5,2.0,66.0,0.01,11.0,0.5,3.67,33.0,0.5,1.0,2.0,7.0,0.22,4.0,7.0,4.0,4.0,9.0,0.0,6.0,-1.0
5.0,67.0,16.0,1.0,1.0,130.0,34.0,0.37,64.0,2.02,30.0,0.88,153.0,17.0,0.48,90.0,2.0,179.17,21.38,81861.96,1.28,548.0,0.05,4547.89,3829.8,0.5,33.0,65.0,121.0,0.35,243.0,305.0,108.0,19.0,98.0,2.17,91.0,-1.0
12.0,5.0,3.0,2.0,8.0,8.0,3.0,0.23,4.0,2.0,2.0,0.67,13.0,1.0,0.0,11.0,2.0,31.59,11.45,4145.3,0.12,68.0,0.09,230.29,361.89,0.33,2.0,4.0,12.0,0.09,28.0,40.0,22.0,18.0,34.0,47.62,13.0,-1.0
0.0,5.0,2.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,11.0,1.0,0.0,13.0,6.0,23.44,7.33,1260.57,0.06,38.0,0.14,70.03,171.9,0.33,2.0,4.0,10.0,0.21,16.0,22.0,12.0,11.0,14.0,0.0,13.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,5.0,1.0,18.39,4.89,439.63,0.03,22.0,0.2,24.42,89.92,0.5,1.0,2.0,6.0,0.33,11.0,11.0,9.0,8.0,6.0,0.0,5.0,-1.0
8.0,17.0,3.0,0.0,0.0,12.0,13.0,0.23,6.0,2.0,12.0,0.92,36.0,1.0,0.0,56.0,0.0,36.39,41.23,61862.5,0.5,253.0,0.02,3436.81,1500.48,0.08,3.0,6.0,25.0,0.2,111.0,142.0,35.0,26.0,65.0,0.0,56.0,-1.0
1.0,7.0,4.0,0.0,0.0,12.0,4.0,0.19,6.0,2.0,2.0,0.5,24.0,1.0,0.0,21.0,3.0,53.82,9.17,4521.96,0.16,94.0,0.11,251.22,493.31,0.25,3.0,6.0,22.0,0.17,45.0,49.0,27.0,11.0,23.0,0.0,21.0,-1.0
4.0,3.0,0.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,7.0,1.0,0.0,7.0,0.0,13.74,10.63,1550.69,0.05,35.0,0.09,86.15,145.95,0.5,1.0,2.0,7.0,0.17,17.0,18.0,8.0,10.0,12.0,0.0,7.0,-1.0
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,5.0,1.0,0.0,9.0,2.0,10.53,13.2,1834.45,0.05,34.0,0.08,101.91,138.97,0.5,1.0,2.0,5.0,0.18,11.0,23.0,5.0,12.0,11.0,0.0,9.0,-1.0
3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,5.0,1.0,0.0,5.0,0.0,12.24,9.33,1066.06,0.04,30.0,0.11,59.23,114.22,0.5,1.0,2.0,5.0,0.22,14.0,16.0,6.0,8.0,9.0,0.0,5.0,-1.0
5.0,3.0,1.0,0.0,10.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,7.0,1.0,0.0,6.0,2.0,11.99,6.67,533.03,0.03,21.0,0.15,29.61,79.95,0.5,1.0,2.0,7.0,0.09,10.0,11.0,6.0,8.0,22.0,62.5,6.0,-1.0
3.0,13.0,2.0,0.0,0.0,22.0,7.0,0.27,10.0,2.2,4.0,0.57,32.0,4.0,0.5,26.0,2.0,24.26,23.75,13682.58,0.19,109.0,0.04,760.14,576.11,0.57,6.0,11.0,27.0,0.23,50.0,59.0,20.0,19.0,30.0,0.0,26.0,-1.0
