n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
10.0,11.0,14.0,0.0,12.0,16.0,6.0,0.15,8.0,2.0,6.0,1.0,38.0,1.0,0.0,40.0,2.0,51.19,16.75,14362.03,0.29,147.0,0.06,797.89,857.43,0.17,4.0,8.0,34.0,0.1,67.0,80.0,38.0,19.0,63.0,23.08,40.0,-1.0
1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,13.0,1.0,0.0,11.0,0.0,31.66,6.43,1308.6,0.07,45.0,0.16,72.7,203.56,0.33,2.0,4.0,12.0,0.23,20.0,25.0,14.0,9.0,13.0,0.0,11.0,-1.0
3.0,5.0,4.0,0.0,6.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,13.0,1.0,0.0,17.0,1.0,39.99,5.59,1248.86,0.07,47.0,0.18,69.38,223.48,0.33,2.0,4.0,12.0,0.11,19.0,28.0,17.0,10.0,27.0,26.09,17.0,-1.0
3.0,5.0,2.0,0.0,5.0,8.0,3.0,0.43,4.0,2.0,2.0,0.67,13.0,1.0,0.0,7.0,0.0,14.4,11.88,2030.23,0.06,41.0,0.08,112.79,170.97,0.33,2.0,4.0,12.0,0.19,19.0,22.0,8.0,10.0,16.0,41.67,7.0,-1.0
3.0,15.0,2.0,0.0,14.0,14.0,8.0,0.73,4.0,3.5,7.0,0.88,22.0,5.0,0.0,11.0,0.0,17.7,12.6,2809.44,0.07,50.0,0.08,156.08,222.97,0.63,5.0,8.0,16.0,0.28,21.0,29.0,10.0,12.0,29.0,56.0,11.0,-1.0
5.0,5.0,4.0,0.0,4.0,8.0,3.0,0.19,4.0,2.0,3.0,1.0,12.0,1.0,0.0,16.0,3.0,23.2,12.5,3624.82,0.1,57.0,0.08,201.38,289.99,0.33,2.0,4.0,11.0,0.12,25.0,32.0,17.0,17.0,26.0,20.0,16.0,-1.0
4.0,9.0,14.0,0.0,2.0,12.0,5.0,0.21,6.0,2.0,5.0,1.0,32.0,1.0,0.0,24.0,2.0,94.27,5.25,2598.43,0.16,93.0,0.19,144.36,494.94,0.2,3.0,6.0,29.0,0.16,42.0,51.0,32.0,8.0,31.0,7.69,24.0,-1.0
4.0,9.0,2.0,0.0,8.0,14.0,5.0,0.31,6.0,2.33,2.0,0.4,18.0,4.0,0.0,16.0,0.0,16.51,22.88,8646.51,0.13,77.0,0.04,480.36,377.83,0.8,4.0,7.0,15.0,0.17,35.0,42.0,13.0,17.0,29.0,33.33,16.0,-1.0
3.0,3.0,4.0,0.0,1.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,11.0,1.0,0.0,11.0,3.0,30.55,7.09,1536.14,0.07,53.0,0.14,85.34,216.64,0.5,1.0,2.0,11.0,0.13,26.0,27.0,11.0,6.0,16.0,8.33,11.0,-1.0
0.0,3.0,0.0,0.0,1.0,4.0,2.0,0.2,2.0,2.0,1.0,0.5,7.0,1.0,0.0,10.0,0.0,16.37,10.5,1806.0,0.06,43.0,0.1,100.33,172.0,0.5,1.0,2.0,7.0,0.17,21.0,22.0,8.0,8.0,12.0,9.09,10.0,-1.0
6.0,24.0,2.0,0.0,5.0,16.0,19.0,0.44,8.0,2.0,3.0,0.16,51.0,4.0,0.0,43.0,1.0,49.79,27.19,36801.7,0.45,216.0,0.04,2044.54,1353.63,0.21,4.0,8.0,34.0,0.35,90.0,126.0,48.0,29.0,55.0,10.42,43.0,-1.0
2.0,3.0,2.0,0.0,2.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,0.0,25.03,4.9,600.86,0.04,30.0,0.2,33.38,122.62,0.5,1.0,2.0,8.0,0.14,14.0,16.0,10.0,7.0,14.0,18.18,9.0,-1.0
2.0,7.0,4.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,3.0,0.75,15.0,1.0,0.0,12.0,0.0,27.49,6.42,1132.02,0.06,39.0,0.16,62.89,176.42,0.25,3.0,6.0,13.0,0.27,14.0,25.0,12.0,11.0,15.0,0.0,12.0,-1.0
5.0,45.0,3.0,1.0,6.0,46.0,23.0,0.55,4.0,11.5,23.0,1.0,72.0,23.0,1.0,41.0,0.0,104.29,6.4,4271.56,0.22,123.0,0.16,237.31,667.43,1.0,21.0,23.0,51.0,0.43,56.0,67.0,35.0,8.0,54.0,14.58,42.0,-1.0
6.0,25.0,3.0,0.0,9.0,42.0,13.0,0.33,18.0,2.33,6.0,0.46,47.0,1.0,0.0,39.0,0.0,54.51,25.0,34070.5,0.45,228.0,0.04,1892.81,1362.82,0.08,12.0,21.0,36.0,0.24,100.0,128.0,42.0,21.0,55.0,18.75,39.0,-1.0
3.0,5.0,6.0,0.0,1.0,8.0,3.0,0.13,4.0,2.0,3.0,1.0,18.0,1.0,0.0,23.0,0.0,64.76,5.25,1785.31,0.11,70.0,0.19,99.18,340.06,0.33,2.0,4.0,17.0,0.11,33.0,37.0,22.0,7.0,28.0,4.17,23.0,-1.0
1.0,3.0,0.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,0.0,14.17,3.75,199.32,0.02,16.0,0.27,11.07,53.15,0.5,1.0,2.0,6.0,0.17,5.0,11.0,4.0,6.0,12.0,10.0,9.0,-1.0
6.0,15.0,7.0,0.0,5.0,14.0,9.0,0.29,6.0,2.33,6.0,0.67,32.0,1.0,0.0,31.0,0.0,35.72,13.91,6910.42,0.17,94.0,0.07,383.91,496.83,0.11,4.0,7.0,25.0,0.21,36.0,58.0,22.0,17.0,43.0,13.89,31.0,-1.0
2.0,8.0,7.0,0.0,0.0,4.0,6.0,0.32,2.0,2.0,6.0,1.0,17.0,1.0,0.0,19.0,0.0,36.77,10.91,4375.94,0.13,77.0,0.09,243.11,401.13,0.17,1.0,2.0,13.0,0.27,32.0,45.0,22.0,15.0,22.0,0.0,19.0,-1.0
1.0,3.0,2.0,16.0,0.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,9.0,1.0,103.2,5.62,3260.81,0.19,109.0,0.18,181.16,580.09,0.5,1.0,2.0,21.0,0.07,53.0,56.0,33.0,7.0,27.0,64.0,25.0,-1.0
4.0,6.0,6.0,0.0,2.0,4.0,4.0,0.15,2.0,2.0,4.0,1.0,17.0,1.0,0.0,27.0,0.0,35.47,12.24,5313.4,0.14,80.0,0.08,295.19,434.1,0.25,1.0,2.0,15.0,0.12,34.0,46.0,25.0,18.0,34.0,6.9,27.0,-1.0
5.0,5.0,13.0,0.0,3.0,4.0,3.0,0.13,2.0,2.0,3.0,1.0,24.0,1.0,0.0,23.0,2.0,88.98,6.22,3442.96,0.18,102.0,0.16,191.28,553.48,0.33,1.0,2.0,23.0,0.09,47.0,55.0,34.0,9.0,32.0,11.54,23.0,-1.0
3.0,3.0,0.0,0.0,4.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,3.0,13.02,7.5,732.54,0.03,25.0,0.13,40.7,97.67,0.5,1.0,2.0,6.0,0.12,10.0,15.0,6.0,9.0,17.0,30.77,9.0,-1.0
