n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
1.0,13.0,2.0,0.0,0.0,24.0,7.0,0.33,12.0,2.0,3.0,0.43,28.0,6.0,0.83,21.0,0.0,20.0,16.25,5282.39,0.11,70.0,0.06,293.47,325.07,0.86,6.0,12.0,23.0,0.3,30.0,40.0,12.0,13.0,23.0,0.0,21.0,-1.0
4.0,11.0,4.0,0.0,3.0,18.0,6.0,0.25,8.0,2.25,4.0,0.67,22.0,4.0,0.6,24.0,2.0,29.2,19.5,11102.33,0.19,111.0,0.05,616.8,569.35,0.67,5.0,9.0,18.0,0.19,52.0,59.0,20.0,15.0,32.0,11.11,24.0,-1.0
9.0,19.0,2.0,3.0,11.0,36.0,10.0,0.29,18.0,2.0,4.0,0.4,41.0,1.0,0.0,32.0,3.0,35.14,41.18,59587.71,0.48,246.0,0.02,3310.43,1447.13,0.1,9.0,18.0,33.0,0.18,112.0,134.0,34.0,25.0,56.0,30.43,35.0,-1.0
19.0,9.0,4.0,2.0,5.0,16.0,5.0,0.11,8.0,2.0,5.0,1.0,23.0,1.0,0.0,45.0,0.0,71.31,24.66,43378.78,0.59,286.0,0.04,2409.93,1758.83,0.2,4.0,8.0,20.0,0.07,135.0,151.0,52.0,19.0,72.0,13.46,47.0,-1.0
3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,5.0,1.0,0.0,5.0,2.0,9.87,5.63,312.22,0.02,15.0,0.18,17.35,55.51,0.5,1.0,2.0,5.0,0.22,5.0,10.0,4.0,9.0,9.0,0.0,5.0,-1.0
2.0,13.0,4.0,0.0,0.0,24.0,7.0,0.24,12.0,2.0,2.0,0.29,30.0,3.0,0.33,29.0,1.0,28.86,20.94,12659.07,0.2,122.0,0.05,703.28,604.41,0.43,6.0,12.0,25.0,0.22,58.0,64.0,18.0,13.0,32.0,0.0,29.0,-1.0
4.0,13.0,2.0,0.0,3.0,24.0,7.0,0.19,12.0,2.0,7.0,1.0,37.0,1.0,0.0,36.0,2.0,33.06,25.74,21902.71,0.28,161.0,0.04,1216.82,850.95,0.14,6.0,12.0,32.0,0.16,74.0,87.0,23.0,16.0,44.0,7.69,36.0,-1.0
13.0,5.0,2.0,4.0,0.0,8.0,3.0,0.21,4.0,2.0,1.0,0.33,12.0,1.0,0.0,10.0,2.0,32.11,9.58,2947.52,0.1,61.0,0.1,163.75,307.71,0.33,2.0,4.0,11.0,0.11,26.0,35.0,19.0,14.0,28.0,28.57,14.0,-1.0
1.0,22.0,5.0,2.0,1.0,32.0,13.0,0.29,16.0,2.0,10.0,0.77,54.0,8.0,0.58,43.0,2.0,41.66,36.87,56634.51,0.51,256.0,0.03,3146.36,1536.0,0.62,8.0,16.0,43.0,0.27,89.0,167.0,35.0,29.0,48.0,6.52,45.0,-1.0
1.0,11.0,5.0,1.0,0.0,18.0,6.0,0.29,8.0,2.25,3.0,0.5,22.0,1.0,0.0,20.0,1.0,31.18,19.55,11909.67,0.2,113.0,0.05,661.65,609.33,0.17,5.0,9.0,18.0,0.26,43.0,70.0,22.0,20.0,23.0,4.76,21.0,-1.0
4.0,43.0,22.0,4.0,1.0,82.0,22.0,0.29,40.0,2.05,21.0,0.95,118.0,12.0,0.52,73.0,1.0,98.77,30.8,93697.55,1.01,442.0,0.03,5205.42,3042.13,0.55,21.0,41.0,98.0,0.27,198.0,244.0,90.0,28.0,83.0,6.41,77.0,-1.0
4.0,11.0,7.0,4.0,2.0,4.0,8.0,0.22,2.0,2.0,8.0,1.0,22.0,3.0,0.29,32.0,0.0,33.95,14.15,6799.13,0.16,88.0,0.07,377.73,480.43,0.38,1.0,2.0,16.0,0.19,31.0,57.0,23.0,21.0,43.0,15.79,36.0,-1.0
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,5.0,1.0,0.0,6.0,1.0,10.58,7.2,548.26,0.03,20.0,0.14,30.46,76.15,0.5,1.0,2.0,5.0,0.25,8.0,12.0,5.0,9.0,8.0,0.0,6.0,-1.0
