n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,l
5.0,15.0,2.0,0.0,2.0,20.0,8.0,0.15,6.0,4.0,0.5,22.0,6.0,0.71,54.0,0.0,8.0,1.0,53.43,23.25,28882.57,0.41,219.0,0.04,1604.59,1242.26,0.75,7.0,10.0,16.0,0.12,93.0,126.0,34.0,17.0,68.0,3.57,54.0,-1.0
2.0,3.0,0.0,1.0,0.0,4.0,2.0,0.29,2.0,1.0,0.5,5.0,1.0,0.0,6.0,0.0,2.0,1.0,11.71,4.9,281.06,0.02,16.0,0.2,15.61,57.36,0.5,1.0,2.0,5.0,0.18,7.0,9.0,5.0,7.0,11.0,14.29,7.0,-1.0
2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.2,0.0,2.0,1.0,6.0,1.0,0.0,9.0,0.0,2.0,1.0,21.6,5.0,540.0,0.04,27.0,0.2,30.0,108.0,0.5,0.0,0.0,6.0,0.14,10.0,17.0,8.0,8.0,14.0,10.0,10.0,-1.0
4.0,3.0,3.0,0.0,4.0,4.0,2.0,0.13,2.0,1.0,0.5,9.0,1.0,0.0,16.0,0.0,1.0,0.5,53.29,4.71,1180.09,0.08,54.0,0.21,65.56,250.77,0.5,1.0,2.0,9.0,0.07,20.0,34.0,17.0,8.0,27.0,20.0,16.0,-1.0
2.0,7.0,1.0,1.0,1.0,10.0,4.0,0.29,4.0,1.0,0.25,12.0,3.0,0.67,13.0,2.0,3.0,0.75,19.62,10.0,1962.15,0.07,44.0,0.1,109.01,196.21,0.75,3.0,5.0,10.0,0.2,20.0,24.0,11.0,11.0,20.0,13.33,14.0,-1.0
2.0,25.0,0.0,16.0,8.0,40.0,13.0,0.19,16.0,1.0,0.08,43.0,9.0,0.67,52.0,0.0,12.0,0.92,22.12,57.0,71859.2,0.42,242.0,0.02,3992.18,1260.69,0.69,12.0,20.0,32.0,0.15,108.0,134.0,18.0,19.0,84.0,31.58,68.0,-1.0
2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.14,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,19.86,6.5,838.88,0.04,36.0,0.15,46.6,129.06,1.0,0.0,0.0,3.0,0.09,13.0,23.0,6.0,6.0,11.0,14.29,7.0,-1.0
0.0,9.0,0.0,0.0,5.0,10.0,5.0,0.56,2.0,1.0,0.2,11.0,5.0,1.0,9.0,0.0,4.0,0.8,22.93,6.0,825.65,0.05,33.0,0.17,45.87,137.61,1.0,4.0,5.0,8.0,0.31,12.0,21.0,9.0,9.0,16.0,35.71,9.0,-1.0
2.0,3.0,3.0,1.0,1.0,4.0,2.0,0.17,2.0,2.0,1.0,9.0,1.0,0.0,11.0,0.0,2.0,1.0,18.1,8.86,1422.38,0.05,35.0,0.11,79.02,160.47,0.5,1.0,2.0,9.0,0.09,15.0,20.0,11.0,13.0,22.0,15.38,12.0,-1.0
2.0,7.0,2.0,0.0,0.0,10.0,4.0,0.21,4.0,2.0,0.5,13.0,3.0,0.67,19.0,2.0,3.0,0.75,13.26,19.0,4788.17,0.08,53.0,0.05,266.01,252.01,0.75,3.0,5.0,11.0,0.16,19.0,34.0,9.0,18.0,25.0,0.0,19.0,-1.0
