n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
0.0,17.0,2.0,0.0,0.0,26.0,9.0,0.29,10.0,2.6,2.0,0.22,30.0,3.0,0.25,31.0,6.0,27.36,29.33,23526.15,0.27,154.0,0.03,1307.01,802.26,0.33,8.0,13.0,23.0,0.28,69.0,85.0,20.0,17.0,32.0,0.0,31.0,-1.0
6.0,5.0,3.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,13.0,1.0,0.0,21.0,2.0,33.54,13.0,5667.6,0.15,88.0,0.08,314.87,435.97,0.33,2.0,4.0,12.0,0.11,36.0,52.0,18.0,13.0,28.0,0.0,21.0,-1.0
10.0,13.0,2.0,2.0,5.0,22.0,7.0,0.39,10.0,2.2,3.0,0.43,22.0,1.0,0.0,16.0,3.0,42.41,15.45,10128.75,0.22,124.0,0.06,562.71,655.39,0.14,6.0,11.0,17.0,0.21,40.0,84.0,22.0,17.0,34.0,30.43,18.0,-1.0
4.0,7.0,4.0,1.0,4.0,12.0,4.0,0.31,6.0,2.0,3.0,0.75,16.0,1.0,0.0,12.0,1.0,40.37,13.0,6822.31,0.17,100.0,0.08,379.02,524.79,0.25,3.0,6.0,14.0,0.18,50.0,50.0,25.0,13.0,22.0,29.41,13.0,-1.0
8.0,3.0,2.0,1.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,7.0,1.0,0.0,10.0,4.0,26.99,6.97,1309.86,0.06,40.0,0.14,72.77,188.02,0.5,1.0,2.0,7.0,0.1,19.0,21.0,15.0,11.0,20.0,9.09,11.0,-1.0
13.0,3.0,2.0,0.0,11.0,4.0,2.0,0.06,2.0,2.0,1.0,0.5,15.0,1.0,0.0,33.0,0.0,56.88,16.48,15453.19,0.31,175.0,0.06,858.51,937.57,0.5,1.0,2.0,15.0,0.03,71.0,104.0,28.0,13.0,58.0,25.0,33.0,-1.0
19.0,15.0,3.0,2.0,39.0,28.0,8.0,0.12,14.0,2.0,2.0,0.25,36.0,4.0,0.43,64.0,1.0,44.02,37.19,60876.7,0.55,268.0,0.03,3382.04,1637.08,0.5,7.0,14.0,30.0,0.06,123.0,145.0,43.0,26.0,125.0,39.05,66.0,-1.0
2.0,11.0,0.0,0.0,0.0,18.0,6.0,0.86,8.0,2.25,1.0,0.17,18.0,5.0,0.8,7.0,2.0,9.45,16.5,2574.0,0.05,39.0,0.06,143.0,156.0,0.83,5.0,9.0,14.0,0.6,11.0,28.0,4.0,12.0,10.0,0.0,7.0,-1.0
3.0,5.0,0.0,0.0,0.0,8.0,3.0,0.6,4.0,2.0,1.0,0.33,11.0,1.0,0.0,5.0,2.0,13.29,10.29,1406.48,0.05,35.0,0.1,78.14,136.74,0.33,2.0,4.0,10.0,0.33,18.0,17.0,7.0,8.0,9.0,0.0,5.0,-1.0
15.0,5.0,3.0,3.0,21.0,8.0,3.0,0.17,4.0,2.0,2.0,0.67,13.0,1.0,0.0,15.0,3.0,38.86,14.28,7924.93,0.18,105.0,0.07,440.27,554.97,0.33,2.0,4.0,12.0,0.05,51.0,54.0,25.0,14.0,55.0,61.54,18.0,-1.0
