l,n_0,n_1,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_2,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_3,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_4,n_5,n_6,n_7,n_8,n_9
-1.0,3.0,11.0,1.0,0.17,18.0,4.0,0.6,15.0,2.0,7.45,30.8,7065.15,0.0,0.08,54.0,0.03,392.51,229.39,0.67,5.0,8.0,14.0,0.32,0.0,22.0,32.0,5.0,14.0,19.0,0.0,15.0,,,0.0,16.0,6.0,0.4,6.0,2.67
-1.0,4.0,11.0,6.0,1.0,38.0,1.0,0.0,25.0,2.0,42.36,23.73,23858.84,1.0,0.34,182.0,0.04,1325.49,1005.29,0.17,5.0,10.0,34.0,0.18,3.0,89.0,93.0,30.0,16.0,33.0,10.71,28.0,,,0.0,20.0,6.0,0.21,10.0,2.0
-1.0,8.0,3.0,1.0,0.5,7.0,1.0,0.0,13.0,1.0,29.61,9.15,2480.95,1.0,0.09,57.0,0.11,137.83,271.03,0.5,1.0,2.0,7.0,0.06,6.0,17.0,40.0,13.0,14.0,33.0,45.83,19.0,,,5.0,4.0,2.0,0.11,2.0,2.0
-1.0,1.0,3.0,1.0,0.5,7.0,1.0,0.0,14.0,1.0,28.66,11.47,3771.09,2.0,0.11,67.0,0.09,209.5,328.76,0.5,1.0,2.0,7.0,0.06,6.0,30.0,37.0,17.0,13.0,35.0,57.58,20.0,,,13.0,4.0,2.0,0.1,2.0,2.0
-1.0,0.0,7.0,4.0,1.0,20.0,1.0,0.0,23.0,0.0,34.26,11.57,4586.97,9.0,0.13,75.0,0.09,254.83,396.41,0.25,3.0,5.0,18.0,0.08,1.0,27.0,48.0,21.0,18.0,48.0,51.06,24.0,,,23.0,10.0,4.0,0.17,4.0,2.5
-1.0,33.0,23.0,1.0,0.08,60.0,1.0,0.0,65.0,4.0,79.18,42.02,139798.54,1.0,1.11,541.0,0.02,7766.59,3327.01,0.08,11.0,22.0,50.0,0.06,5.0,230.0,311.0,52.0,19.0,199.0,60.61,70.0,,,95.0,44.0,12.0,0.17,22.0,2.0
-1.0,4.0,5.0,1.0,0.33,10.0,3.0,1.0,16.0,2.0,13.72,10.56,1531.0,0.0,0.05,33.0,0.09,85.06,144.95,1.0,2.0,4.0,9.0,0.14,1.0,13.0,20.0,8.0,13.0,22.0,5.88,17.0,,,0.0,8.0,3.0,0.18,4.0,2.0
-1.0,17.0,21.0,8.0,0.73,53.0,5.0,0.4,55.0,4.0,48.89,26.83,35190.17,7.0,0.44,217.0,0.04,1955.01,1311.63,0.45,10.0,18.0,44.0,0.14,0.0,88.0,129.0,41.0,25.0,81.0,12.7,55.0,,,8.0,36.0,11.0,0.2,16.0,2.25
-1.0,15.0,7.0,4.0,1.0,25.0,1.0,0.0,41.0,7.0,61.36,23.68,34405.27,4.0,0.48,247.0,0.04,1911.4,1453.01,0.25,3.0,6.0,23.0,0.05,0.0,117.0,130.0,42.0,17.0,78.0,33.87,41.0,,,21.0,12.0,4.0,0.1,6.0,2.0
-1.0,27.0,27.0,12.0,0.8,66.0,8.0,0.5,73.0,2.0,36.37,50.39,92350.98,7.0,0.61,299.0,0.02,5130.61,1832.66,0.53,11.0,22.0,53.0,0.14,3.0,113.0,186.0,37.0,33.0,105.0,5.19,76.0,,,1.0,44.0,15.0,0.2,22.0,2.0
