n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
8.0,13.0,1.0,0.0,2.0,16.0,7.0,0.44,4.0,4.0,3.0,0.43,21.0,7.0,1.0,16.0,0.0,19.37,22.0,9373.21,0.14,97.0,0.05,520.73,426.05,1.0,6.0,8.0,16.0,0.26,40.0,57.0,10.0,11.0,27.0,11.11,16.0,-1.0
6.0,17.0,2.0,3.0,0.0,32.0,9.0,0.33,16.0,2.0,2.0,0.22,36.0,5.0,0.5,24.0,2.0,32.25,23.09,17192.85,0.25,139.0,0.04,955.16,744.7,0.56,8.0,16.0,29.0,0.26,59.0,80.0,23.0,18.0,34.0,11.11,27.0,-1.0
1.0,5.0,3.0,2.0,1.0,8.0,3.0,0.3,4.0,2.0,3.0,1.0,11.0,1.0,0.0,8.0,0.0,22.95,7.27,1213.88,0.06,38.0,0.14,67.44,166.91,0.33,2.0,4.0,10.0,0.23,16.0,22.0,11.0,10.0,13.0,27.27,10.0,-1.0
6.0,9.0,2.0,1.0,3.0,12.0,5.0,0.45,4.0,3.0,3.0,0.6,14.0,5.0,1.0,10.0,0.0,19.49,9.75,1852.4,0.06,42.0,0.1,102.91,189.99,1.0,4.0,6.0,11.0,0.24,15.0,27.0,10.0,13.0,21.0,28.57,11.0,-1.0
2.0,5.0,0.0,0.0,0.0,8.0,3.0,0.3,4.0,2.0,1.0,0.33,9.0,1.0,0.0,10.0,1.0,13.12,10.83,1539.78,0.05,31.0,0.09,85.54,142.13,0.33,2.0,4.0,8.0,0.23,13.0,18.0,9.0,15.0,13.0,0.0,10.0,-1.0
5.0,3.0,3.0,0.0,2.0,4.0,2.0,0.15,2.0,2.0,2.0,1.0,9.0,1.0,0.0,13.0,1.0,28.35,11.7,3880.98,0.11,69.0,0.09,215.61,331.71,0.5,1.0,2.0,9.0,0.1,27.0,42.0,15.0,13.0,21.0,13.33,13.0,-1.0
10.0,9.0,3.0,4.0,6.0,16.0,5.0,0.28,8.0,2.0,2.0,0.4,20.0,3.0,0.5,14.0,1.0,26.25,13.59,4846.95,0.12,72.0,0.07,269.28,356.7,0.6,4.0,8.0,17.0,0.14,33.0,39.0,17.0,14.0,35.0,41.67,18.0,-1.0
5.0,3.0,6.0,2.0,7.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,13.0,1.0,0.0,13.0,0.0,39.87,6.9,1898.17,0.09,60.0,0.14,105.45,275.1,0.5,1.0,2.0,13.0,0.07,23.0,37.0,15.0,9.0,28.0,40.91,15.0,-1.0
5.0,3.0,2.0,0.0,4.0,4.0,2.0,0.14,2.0,2.0,1.0,0.5,7.0,1.0,0.0,14.0,1.0,41.58,15.91,10529.3,0.22,129.0,0.06,584.96,661.68,0.5,1.0,2.0,7.0,0.08,61.0,68.0,23.0,12.0,24.0,22.22,14.0,-1.0
0.0,3.0,0.0,0.0,1.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,6.0,1.0,0.0,6.0,5.0,16.82,8.33,1168.18,0.05,33.0,0.12,64.9,140.18,0.5,1.0,2.0,6.0,0.25,15.0,18.0,9.0,10.0,8.0,14.29,6.0,-1.0
5.0,5.0,1.0,0.0,7.0,8.0,3.0,0.18,4.0,2.0,1.0,0.33,11.0,1.0,0.0,17.0,2.0,20.73,8.73,1579.13,0.06,40.0,0.11,87.73,180.94,0.33,2.0,4.0,10.0,0.1,16.0,24.0,11.0,12.0,30.0,29.17,17.0,-1.0
0.0,5.0,5.0,0.0,0.0,8.0,3.0,0.38,4.0,2.0,3.0,1.0,14.0,1.0,0.0,8.0,0.0,24.59,11.38,3181.51,0.09,57.0,0.09,176.75,279.69,0.33,2.0,4.0,13.0,0.33,26.0,31.0,16.0,14.0,9.0,0.0,8.0,-1.0
1.0,19.0,7.0,1.0,0.0,30.0,10.0,0.48,12.0,2.5,5.0,0.5,39.0,7.0,0.67,20.0,2.0,31.94,20.33,13197.22,0.22,122.0,0.05,733.18,649.28,0.7,9.0,15.0,31.0,0.43,55.0,67.0,23.0,17.0,23.0,4.76,21.0,-1.0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.67,6.0,2.0,2.0,0.5,14.0,4.0,1.0,6.0,0.0,10.28,10.0,1027.99,0.03,27.0,0.1,57.11,102.8,1.0,3.0,6.0,12.0,0.5,8.0,19.0,4.0,10.0,8.0,0.0,6.0,-1.0
7.0,5.0,1.0,3.0,0.0,8.0,3.0,0.15,4.0,2.0,1.0,0.33,11.0,1.0,0.0,17.0,2.0,27.46,13.36,4903.83,0.12,88.0,0.07,272.44,366.95,0.33,2.0,4.0,10.0,0.11,42.0,46.0,11.0,7.0,28.0,15.0,20.0,-1.0
4.0,3.0,3.0,0.0,0.0,4.0,2.0,0.12,2.0,2.0,2.0,1.0,9.0,1.0,0.0,17.0,1.0,27.97,23.08,14896.06,0.22,139.0,0.04,827.56,645.5,0.5,1.0,2.0,9.0,0.09,50.0,89.0,13.0,12.0,22.0,0.0,17.0,-1.0
1.0,3.0,0.0,1.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,0.5,6.0,1.0,0.0,11.0,1.0,19.12,6.0,688.28,0.04,31.0,0.17,38.24,114.71,0.5,1.0,2.0,6.0,0.14,14.0,17.0,7.0,6.0,14.0,8.33,12.0,-1.0
3.0,9.0,3.0,0.0,0.0,16.0,5.0,0.21,8.0,2.0,4.0,0.8,21.0,1.0,0.0,24.0,0.0,31.59,18.2,10462.88,0.19,113.0,0.05,581.27,574.88,0.2,4.0,8.0,18.0,0.18,52.0,61.0,20.0,14.0,28.0,0.0,24.0,-1.0
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,1.0,0.5,7.0,1.0,0.0,8.0,1.0,13.4,5.25,369.2,0.02,18.0,0.19,20.51,70.32,0.5,1.0,2.0,7.0,0.2,7.0,11.0,6.0,9.0,10.0,0.0,8.0,-1.0
0.0,5.0,1.0,0.0,0.0,8.0,3.0,1.0,4.0,2.0,2.0,0.67,10.0,1.0,0.0,3.0,0.0,15.29,8.89,1208.3,0.05,32.0,0.11,67.13,135.93,0.33,2.0,4.0,9.0,0.75,16.0,16.0,9.0,10.0,4.0,0.0,3.0,-1.0
1.0,13.0,2.0,0.0,0.0,22.0,7.0,0.5,10.0,2.2,2.0,0.29,24.0,1.0,0.0,14.0,0.0,29.59,14.55,6259.35,0.14,82.0,0.07,347.74,430.33,0.14,6.0,11.0,19.0,0.44,40.0,42.0,22.0,16.0,16.0,0.0,14.0,-1.0
5.0,13.0,2.0,0.0,12.0,16.0,7.0,0.3,8.0,2.0,4.0,0.57,19.0,7.0,1.0,23.0,3.0,29.28,11.78,4063.55,0.11,71.0,0.08,225.75,344.92,1.0,4.0,8.0,14.0,0.17,29.0,42.0,16.0,13.0,41.0,34.29,23.0,-1.0
10.0,9.0,4.0,0.0,7.0,16.0,5.0,0.22,8.0,2.0,5.0,1.0,20.0,1.0,0.0,23.0,0.0,27.2,13.43,4907.99,0.12,76.0,0.07,272.67,365.36,0.2,4.0,8.0,17.0,0.12,31.0,45.0,15.0,13.0,41.0,23.33,23.0,-1.0
5.0,5.0,0.0,2.0,0.0,8.0,3.0,0.16,4.0,2.0,1.0,0.33,10.0,1.0,0.0,17.0,2.0,19.77,16.0,5061.8,0.11,69.0,0.06,281.21,316.36,0.33,2.0,4.0,9.0,0.12,32.0,37.0,12.0,12.0,25.0,10.53,19.0,-1.0
2.0,5.0,1.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,1.0,0.33,13.0,1.0,0.0,13.0,1.0,22.29,18.67,7768.18,0.14,84.0,0.05,431.57,416.15,0.33,2.0,4.0,12.0,0.19,35.0,49.0,15.0,16.0,16.0,0.0,13.0,-1.0
2.0,17.0,0.0,0.0,0.0,30.0,9.0,0.56,14.0,2.14,1.0,0.11,31.0,9.0,1.0,16.0,0.0,9.47,31.5,9393.71,0.1,69.0,0.03,521.87,298.21,1.0,8.0,15.0,24.0,0.47,21.0,48.0,5.0,15.0,19.0,0.0,16.0,-1.0
4.0,15.0,1.0,1.0,1.0,26.0,8.0,0.38,12.0,2.17,2.0,0.25,32.0,4.0,0.43,20.0,1.0,15.74,26.13,10742.56,0.14,83.0,0.04,596.81,411.2,0.5,7.0,13.0,26.0,0.3,33.0,50.0,12.0,19.0,27.0,9.09,21.0,-1.0
2.0,29.0,5.0,7.0,1.0,52.0,1.0,0.02,24.0,2.17,1.0,1.0,72.0,1.0,0.0,49.0,0.0,46.96,44.27,92035.5,0.69,327.0,0.02,5113.08,2078.92,1.0,14.0,26.0,59.0,0.01,125.0,202.0,48.0,34.0,67.0,14.04,56.0,-1.0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.25,6.0,2.0,1.0,0.25,15.0,1.0,0.0,16.0,1.0,13.27,21.0,5851.26,0.09,60.0,0.05,325.07,278.63,0.25,3.0,6.0,13.0,0.22,28.0,32.0,10.0,15.0,18.0,0.0,16.0,-1.0
